rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
5,7,2.82332,0.71508,2.30203,5.0148,20.1454,981.281,0.436522,85.0837
6,7,2.82244,0.750454,2.341,4.99009,20.1206,984.467,0.431737,85.1084
7,7,2.82694,0.764423,2.3463,4.9362,19.868,985.568,0.439492,85.1916
8,7,2.81479,0.703334,2.33226,4.95481,20.275,982.607,0.438677,85.2273
9,7,2.81278,0.719598,2.29224,4.99408,19.6895,981.519,0.438889,85.1692
10,7,2.81215,0.734655,2.30767,5.00308,20.0033,983.587,0.43917,85.1247
1,8,2.82053,1.01902,2.34738,4.99368,20.0633,983.752,0.436679,85.3012
2,8,2.81681,0.99906,2.3302,4.9577,19.5974,983.064,0.438383,85.2458
3,8,2.81805,0.960826,2.36711,5.01827,20.1197,982.748,0.439991,85.1107
4,8,2.81447,0.99124,2.344,4.93298,20.2038,981.527,0.438706,85.1604
5,8,2.8166,1.02795,2.36014,5.01069,19.8972,983.662,0.437567,85.1626
6,8,2.81585,1.02418,2.34155,4.94551,20.4565,982.953,0.435511,85.1124
7,8,2.81929,0.994404,2.35539,4.9684,19.7042,983.155,0.438592,84.9281
8,8,2.81912,1.00624,2.32919,4.901,20.0868,983.833,0.436029,85.3505
9,8,2.81081,1.00478,2.31708,4.95544,20.0132,985.641,0.435932,84.9405
10,8,2.81959,0.996927,2.34201,4.93656,20.0285,983.366,0.436425,84.9162
1,9,2.81859,0.884448,2.37593,4.86917,20.0538,981.406,0.431338,85.1548
2,9,2.82025,0.862786,2.34974,4.98196,20.4216,981.922,0.43752,85.2078
3,9,2.8261,0.892346,2.33536,4.82516,19.8374,980.308,0.435982,85.2605
4,9,2.82342,0.922466,2.32967,4.90682,20.4172,983.991,0.438456,85.3813
5,9,2.82532,0.824606,2.34027,4.85571,20.0333,981.286,0.436568,85.2726
6,9,2.8213,0.902427,2.35239,4.90868,20.0627,980.299,0.437349,85.1132
7,9,2.82307,0.880809,2.32858,4.98032,20.2864,981.814,0.438649,85.2214
8,9,2.81917,0.901747,2.37492,4.96698,19.8764,981.408,0.438316,85.0288
9,9,2.82045,0.95559,2.33023,4.94132,19.9476,987.119,0.43625,85.1444
10,9,2.82663,0.9169,2.3372,4.91025,20.041,980.395,0.436841,85.1841
1,10,2.81513,0.973099,2.35007,4.96607,20.0173,980.331,0.432173,85.1371
2,10,2.82397,0.909467,2.36877,4.78351,20.0806,984.628,0.435143,85.2896
3,10,2.81896,0.972135,2.31369,4.92358,20.0636,985.333,0.4378,85.0101
4,10,2.82111,0.938885,2.3492,4.90812,19.7496,986.709,0.439215,85.0723
5,10,2.83103,0.980556,2.37551,4.90158,19.8725,985.169,0.43297,84.9631
6,10,2.82063,0.963232,2.3489,4.96767,19.9722,981.546,0.43623,85.1948
7,10,2.82043,0.929997,2.37316,4.88096,20.0387,985.005,0.435674,85.2945
8,10,2.80674,0.91568,2.35242,4.95117,19.8882,985.394,0.436826,85.1301
9,10,2.81794,0.904517,2.3409,4.96674,19.8206,985.214,0.434482,85.2477
10,10,2.81312,0.921769,2.34787,4.9185,20.0051,984.713,0.436187,85.1006
1,11,2.81877,1.23465,2.34266,4.89758,20.1247,985.288,0.437711,85.1379
2,11,2.81474,1.37161,2.34541,5.01873,20.1923,981.584,0.435185,85.3366
3,11,2.81533,1.34295,2.35598,4.91689,20.0508,983.164,0.437834,85.1293
4,11,2.8241,1.37329,2.31197,4.96046,20.1423,980.899,0.441738,84.9852
5,11,2.82408,1.40505,2.39215,4.96805,20.0491,980.946,0.434297,84.9116
6,11,2.81013,1.31168,2.33803,5.02442,19.9453,980.751,0.438034,85.2111
7,11,2.82118,1.31089,2.34982,4.91576,20.2481,982.592,0.437418,84.9297
8,11,2.82175,1.27978,2.34193,5.04285,20.3177,980.661,0.43659,85.2617
9,11,2.81373,1.35592,2.36169,4.88908,19.8535,983.476,0.435568,85.1637
10,11,2.82564,1.42285,2.32698,5.02823,20.0338,986.325,0.439187,85.3195
1,12,2.81883,0.562513,2.35975,4.96778,20.0016,985.89,0.439493,85.0881
2,12,2.8033,0.563974,2.32903,4.93675,19.8132,985.415,0.438458,85.1267
3,12,2.81481,0.548635,2.31414,4.91707,20.1406,985.559,0.438013,85.1843
4,12,2.82444,0.571534,2.33469,5.0135,20.2929,981.709,0.435398,85.0966
5,12,2.8229,0.556755,2.33442,4.8864,20.1242,983.302,0.443669,85.0053
6,12,2.82808,0.592045,2.36381,4.88488,20.1148,981.19,0.438547,84.9824
7,12,2.81807,0.618737,2.3397,4.95792,20.0822,980.559,0.437237,85.0634
8,12,2.82319,0.567078,2.34876,4.9205,20.1611,984.636,0.441396,84.9471
9,12,2.82061,0.558389,2.38798,4.96147,19.964,984.946,0.439206,84.9985
10,12,2.81384,0.602582,2.34347,4.93576,20.2438,985.992,0.437151,85.1769
1,13,2.81469,0.583886,2.34153,5.00569,20.0652,981.36,0.438581,85.2016
2,13,2.80813,0.578703,2.33436,4.93202,20.3468,985.306,0.437184,85.1782
3,13,2.82427,0.570048,2.34407,5.04828,20.1426,982.358,0.43866,85.3285
4,13,2.81393,0.596024,2.33086,4.95847,20.1542,984.987,0.436415,85.1231
5,13,2.83252,0.59165,2.3561,4.9331,20.1312,985.904,0.437699,85.2016
6,13,2.82178,0.562637,2.35406,4.8938,20.1083,981.783,0.433151,85.1099
7,13,2.81776,0.583893,2.36076,5.0583,19.8252,984.282,0.433987,85.2009
8,13,2.81296,0.605362,2.35287,5.05158,19.9957,984.138,0.43772,85.1745
9,13,2.82133,0.524271,2.36748,5.00318,19.73,987.005,0.439203,85.4497
10,13,2.81567,0.584529,2.34444,4.97644,20.3698,986.233,0.439826,85.2653
1,14,2.81621,0.622941,2.31328,4.94852,20.0162,987.384,0.438158,84.9461
2,14,2.82157,0.659444,2.35497,4.93741,19.8859,984.382,0.435892,85.229
3,14,2.81741,0.641146,2.34016,4.98132,19.9991,982.517,0.442013,85.1018
4,14,2.82145,0.692206,2.32428,4.97284,19.729,981.575,0.433265,85.4483
5,14,2.81845,0.631083,2.35749,4.98192,19.9165,984.778,0.437936,85.1601
6,14,2.81383,0.647564,2.34077,4.94262,20.2781,984.558,0.434455,85.068
7,14,2.81484,0.653994,2.35723,4.94504,20.0035,983.549,0.432972,85.0658
8,14,2.81745,0.598798,2.36682,4.96739,20.1654,984.573,0.439734,85.4002
9,14,2.82855,0.62395,2.33408,4.87732,20.0531,982.954,0.437577,85.2481
10,14,2.80985,0.650539,2.31962,4.95576,20.0911,985.231,0.435874,85.1546
1,15,2.82221,0.654845,2.33046,4.98373,19.9588,982.724,0.435968,85.1989
2,15,2.81561,0.6421,2.29357,4.93369,20.3818,982.881,0.437008,84.8119
3,15,2.81833,0.695806,2.33205,4.90215,20.0873,982.41,0.434174,85.1723
4,15,2.82108,0.65645,2.39739,4.91195,19.8851,985.888,0.444572,85.1773
5,15,2.82119,0.636142,2.32906,4.90495,20.0046,980.436,0.438961,85.32
6,15,2.81569,0.611067,2.35986,4.93584,19.9683,983.669,0.43819,84.865
7,15,2.8175,0.634104,2.32938,4.88489,19.9002,984.872,0.436135,85.1756
8,15,2.81754,0.691967,2.33402,4.99882,19.916,985.138,0.438067,85.2153
9,15,2.80939,0.639534,2.3647,4.98744,20.3549,984.131,0.43715,85.1604
10,15,2.81864,0.654498,2.32753,4.86471,19.728,980.481,0.442541,85.1759
1,16,2.8194,0.621729,2.36211,4.91866,20.039,982.846,0.437405,85.1916
2,16,2.81151,0.600407,2.34067,5.0176,20.1102,982.529,0.440504,85.2624
3,16,2.80983,0.646539,2.30502,4.93433,20.0566,983.546,0.434765,85.1891
4,16,2.82098,0.632377,2.29949,4.92586,19.9073,982.3,0.43312,85.2489
5,16,2.82097,0.625605,2.34276,4.98303,19.7926,981.74,0.43453,85.3138
6,16,2.81974,0.601997,2.38244,4.9227,20.0564,985.794,0.437516,85.3666
7,16,2.81418,0.630242,2.31218,4.92411,20.141,984.12,0.439597,85.29
8,16,2.82464,0.626836,2.33286,5.00058,20.0741,986.375,0.436402,85.2503
9,16,2.81579,0.625608,2.321,5.03351,19.8781,983.87,0.435874,85.1648
10,16,2.81719,0.624997,2.33464,5.04412,19.9834,982.54,0.441089,85.1293
1,17,2.81098,0.477434,2.35066,4.92115,20.122,980.697,0.441831,85.0776
2,17,2.80792,0.491239,2.33145,4.84291,20.1482,981.049,0.439796,85.2679
3,17,2.81944,0.522981,2.34919,4.91297,19.7588,986.945,0.438583,84.9987
4,17,2.81762,0.493765,2.35108,4.87005,19.9854,983.778,0.434923,84.9357
5,17,2.81558,0.483491,2.3414,4.89126,20.1229,983.134,0.437856,85.0956
6,17,2.80614,0.512627,2.38325,4.90643,19.9259,982.403,0.437942,84.9729
7,17,2.81966,0.47567,2.36606,4.95833,20.1711,984.841,0.4348,85.045
8,17,2.81372,0.497235,2.33172,4.89666,19.8699,980.509,0.438091,85.1707
9,17,2.82539,0.506244,2.35495,4.98528,20.0483,984.097,0.43822,85.2784
10,17,2.82223,0.493894,2.34401,4.93742,20.3629,980.281,0.435074,84.8276
1,18,2.81579,0.633748,2.35168,4.92409,20.1951,978.76,0.436296,85.2361
2,18,2.81335,0.611835,2.35027,4.97298,20.1666,983.717,0.438273,85.3021
3,18,2.81762,0.628328,2.35633,4.93201,20.2499,983.134,0.43799,85.2162
4,18,2.81392,0.616742,2.36215,4.99939,20.027,981.939,0.437572,85.1587
5,18,2.82089,0.628927,2.3637,5.02818,20.1133,984.145,0.435315,85.1031
6,18,2.80793,0.610145,2.36679,4.96702,20.3515,984.078,0.436841,85.2315
7,18,2.81686,0.612586,2.36699,5.00939,19.9297,983.97,0.439051,85.1527
8,18,2.82044,0.631944,2.32963,4.96936,20.0084,983.415,0.437279,85.167
9,18,2.82311,0.610091,2.33552,4.84401,19.926,983.731,0.436341,84.995
10,18,2.81912,0.62067,2.35485,4.9354,20.0258,983.439,0.432843,85.1321
1,19,2.81851,0.975011,2.34026,4.91287,20.0926,981.247,0.437026,85.4146
2,19,2.82436,0.95105,2.32774,4.9373,19.8564,981.3,0.43639,85.3074
3,19,2.82216,1.01981,2.31946,4.92297,19.9364,979.635,0.43738,85.1732
4,19,2.82673,0.999298,2.36159,4.95199,19.9409,983.272,0.434876,85.137
5,19,2.81971,0.891599,2.34159,4.9525,20.1006,986.741,0.437686,85.1381
6,19,2.81553,0.887747,2.34701,4.83644,20.2129,982.053,0.434578,85.3865
7,19,2.81685,0.938811,2.32331,4.91977,19.9027,983.756,0.435972,84.9537
8,19,2.82356,0.95864,2.31332,4.94625,19.9461,978.831,0.434074,85.1631
9,19,2.82267,0.952575,2.35312,4.84894,19.9662,982.854,0.433899,85.4379
10,19,2.81799,0.970079,2.3534,4.93926,19.8974,981.936,0.43464,85.1297
1,20,2.80765,0.484354,2.32762,5.04349,20.1913,982.517,0.436001,85.1269
2,20,2.82469,0.482174,2.3413,4.96159,19.9799,985.105,0.436549,85.2141
3,20,2.81822,0.506454,2.34033,4.96341,19.8998,978.745,0.44057,84.9239
4,20,2.81436,0.509485,2.35035,5.09353,20.0301,979.173,0.439072,85.2117
5,20,2.81562,0.508549,2.34524,4.98918,20.224,981.598,0.433344,85.4183
6,20,2.82492,0.461682,2.36818,5.01485,20.0601,981.569,0.432406,85.2278
7,20,2.81029,0.459164,2.34282,4.97099,19.9275,984.801,0.436805,84.9891
