rep,id,Cl,V1,Q,V2,R0,kout,IC50
3,33,2.79465,0.75308,2.31647,4.92171,1119.94,0.0115189,3.10688e-10
4,33,2.80768,0.763868,2.31246,4.98228,1122.29,0.0112575,2.38672e-10
5,33,2.81895,0.779984,2.31301,4.92257,1117.36,0.00958497,2.23131e-10
6,33,2.81423,0.811043,2.33461,5.06309,1117.33,0.00778171,2.2636e-10
7,33,2.80956,0.799265,2.32263,4.95744,1119.24,0.0105793,1.51529e-10
8,33,2.81054,0.77253,2.33658,4.92995,1112.03,0.00854238,2.0939e-10
9,33,2.81476,0.806969,2.32454,5.02056,1106.26,0.011352,3.383e-10
10,33,2.8061,0.81952,2.32426,4.97532,1119.98,0.0055678,3.73787e-10
1,34,2.80818,0.930242,2.33942,4.9753,1107.18,0.00809835,1.9267e-10
2,34,2.82552,0.921943,2.30467,4.96895,1121.74,0.0124007,1.6573e-10
3,34,2.82904,0.934678,2.31535,4.8903,1103.36,0.0116448,2.86421e-10
4,34,2.81921,0.936544,2.32284,4.90715,1105.87,0.0107599,1.39208e-10
5,34,2.82413,0.92785,2.30786,4.96297,1119.95,0.0121441,8.85868e-11
6,34,2.82035,0.932545,2.3223,4.94406,1110.35,0.0106159,3.32036e-10
7,34,2.80819,0.919309,2.30382,4.91253,1116.03,0.0108271,1.33036e-10
8,34,2.81849,0.963585,2.33446,4.91259,1113.17,0.0114341,3.06437e-10
9,34,2.81439,0.94044,2.31557,4.88566,1120.29,0.00749285,1.9137e-10
10,34,2.8197,0.965072,2.29538,4.92593,1114.39,0.00807129,1.86837e-10
1,35,2.80492,0.484918,2.34427,4.90597,1124.25,0.00744291,1.39648e-10
2,35,2.82664,0.506042,2.3687,4.94752,1108.51,0.011618,2.04483e-10
3,35,2.81383,0.498094,2.34714,4.92295,1113.21,0.0107746,1.77416e-10
4,35,2.81601,0.493903,2.3456,4.94687,1105.48,0.00735691,3.38374e-10
5,35,2.82379,0.491623,2.34555,4.84455,1121.06,0.00651468,4.69059e-10
6,35,2.81662,0.459913,2.32238,4.86796,1116.39,0.00918846,2.46224e-10
7,35,2.81403,0.46271,2.31354,4.88386,1118.63,0.00952986,3.22304e-10
8,35,2.81202,0.505803,2.32339,4.97018,1114.33,0.00926734,1.33064e-10
9,35,2.80889,0.469321,2.34493,4.96101,1098.58,0.00867442,6.00244e-11
10,35,2.83421,0.47473,2.3283,5.02045,1109.74,0.0102092,1.26215e-10
1,36,2.82023,0.425856,2.36203,4.88525,1113.13,0.0086283,2.81707e-10
2,36,2.81269,0.415944,2.33606,4.94586,1114,0.00915537,2.07254e-10
3,36,2.81093,0.415834,2.34803,4.93645,1120.77,0.010531,2.80123e-10
4,36,2.79526,0.424328,2.33051,4.91307,1129.51,0.00878572,2.49288e-10
5,36,2.8062,0.408165,2.30581,4.87371,1115.05,0.00820046,2.91256e-10
6,36,2.81361,0.43209,2.32378,4.95809,1113.8,0.0096262,2.38027e-10
7,36,2.81411,0.428816,2.36685,4.8994,1115.13,0.011205,1.13923e-10
8,36,2.80938,0.399122,2.3358,4.93885,1114.65,0.0106923,2.3704e-10
9,36,2.81613,0.428169,2.35192,4.979,1120.69,0.0115591,2.99123e-10
10,36,2.81644,0.450841,2.33415,4.90517,1105.37,0.00821105,1.69797e-10
1,37,2.81933,0.582072,2.33617,5.00116,1112.12,0.00900075,1.65551e-10
2,37,2.82631,0.594153,2.33186,4.96383,1111.82,0.00926857,1.97394e-10
3,37,2.8035,0.613868,2.32577,4.95738,1122.81,0.0101473,1.09854e-10
4,37,2.8143,0.546095,2.31222,4.90935,1121.27,0.00893684,1.64859e-10
5,37,2.80727,0.600764,2.34478,4.93782,1118.84,0.0103359,1.23332e-10
6,37,2.80503,0.566244,2.35553,4.94577,1121.01,0.00964873,2.10309e-10
7,37,2.82176,0.60402,2.30919,5.00496,1118.32,0.00980584,1.4202e-10
8,37,2.82367,0.587406,2.28124,4.93678,1106.28,0.00933631,2.16732e-10
9,37,2.79637,0.589521,2.32739,4.92084,1114.21,0.00964154,2.50153e-10
10,37,2.81443,0.560902,2.32813,4.98747,1117.25,0.00655505,2.69414e-10
1,38,2.82008,0.521109,2.36408,4.91047,1113.89,0.0104203,3.6293e-10
2,38,2.81966,0.514494,2.34467,4.8338,1118.99,0.011821,1.53114e-10
3,38,2.82193,0.528657,2.34054,4.94245,1120.68,0.010959,2.63118e-10
4,38,2.81608,0.537735,2.32609,5.0168,1105.82,0.0111839,1.76644e-10
5,38,2.82324,0.502676,2.3635,4.89641,1112.07,0.00974325,3.647e-10
6,38,2.82958,0.508987,2.32048,4.97645,1120.05,0.0116985,1.45107e-10
7,38,2.81166,0.498195,2.35885,4.95679,1122.83,0.0118057,4.75169e-10
8,38,2.80833,0.498349,2.3819,4.84351,1121.52,0.00969773,1.88548e-10
9,38,2.81505,0.527981,2.3438,4.88317,1119.66,0.0110299,4.44887e-10
10,38,2.80961,0.478304,2.33083,4.91199,1111.84,0.0114084,1.57263e-10
1,39,2.81525,0.570434,2.30197,4.82611,1122.03,0.0112358,1.04614e-10
2,39,2.81505,0.599976,2.31865,4.96821,1122.45,0.00998382,3.46322e-10
3,39,2.82075,0.561016,2.30867,4.90659,1111.47,0.00979476,1.24224e-10
4,39,2.81272,0.612932,2.33586,4.88614,1111.16,0.0104705,1.65539e-10
5,39,2.81984,0.59053,2.33699,5.03738,1115.63,0.00842939,1.52065e-10
6,39,2.82373,0.572223,2.33189,4.8793,1116.93,0.0099208,1.87017e-10
7,39,2.81338,0.589964,2.34629,4.9608,1115.02,0.00951443,1.44445e-10
8,39,2.82317,0.593035,2.29067,4.94904,1110.37,0.00860914,1.73703e-10
9,39,2.81686,0.610757,2.30229,5.01918,1112.36,0.00706742,4.758e-10
10,39,2.82371,0.639465,2.32089,4.92693,1114.54,0.0102074,3.23066e-10
1,40,2.82273,1.0342,2.35563,4.98554,1120.35,0.00917104,2.69348e-10
2,40,2.8147,1.08614,2.34343,4.83123,1116.33,0.00849622,1.25292e-10
3,40,2.81623,1.113,2.29299,4.93863,1119.53,0.00805617,1.27636e-10
4,40,2.81662,1.06352,2.34,4.95028,1113.15,0.00894996,2.83363e-10
5,40,2.81135,1.04432,2.32589,4.87891,1122.97,0.0116507,3.44279e-10
6,40,2.81512,1.02463,2.36018,4.94632,1113.12,0.011358,1.40046e-10
7,40,2.81859,1.07012,2.32145,4.97508,1112.34,0.00887464,1.42996e-10
8,40,2.81063,1.01745,2.31549,4.91279,1110.43,0.0121905,1.72176e-10
9,40,2.80918,1.07847,2.35254,4.92264,1111.88,0.0102511,2.36011e-10
10,40,2.8068,1.06075,2.34085,4.98012,1125.6,0.00925146,1.63576e-10
1,41,2.80928,0.769888,2.39283,4.97251,1117.57,0.0084149,3.24015e-10
2,41,2.80889,0.751577,2.28354,5.01463,1122.32,0.00757943,1.23766e-10
3,41,2.81493,0.782233,2.34834,4.98485,1114.4,0.0104366,1.30067e-10
4,41,2.80885,0.785284,2.33698,5.00387,1125.74,0.00941019,3.51849e-10
5,41,2.80974,0.783489,2.34213,4.86018,1107.83,0.0105674,2.92227e-10
6,41,2.82583,0.745502,2.35679,4.93696,1110.17,0.0106992,2.25535e-10
7,41,2.81833,0.771614,2.33087,5.01559,1110.38,0.00731906,2.18412e-10
8,41,2.80802,0.762793,2.32659,4.93778,1098.56,0.0101742,1.55027e-10
9,41,2.82848,0.746809,2.33827,4.96496,1118.15,0.00757126,3.00811e-10
10,41,2.81308,0.730073,2.3493,4.96638,1125.05,0.0102089,3.68844e-10
1,42,2.80608,0.771566,2.32693,5.03071,1116.69,0.0116373,2.72743e-10
2,42,2.82225,0.78094,2.31919,4.93198,1115.45,0.00927877,3.03388e-10
3,42,2.80875,0.734239,2.29989,4.94746,1124.03,0.0097393,2.24748e-10
4,42,2.81154,0.755672,2.35832,4.9986,1112.09,0.00784059,2.09045e-10
5,42,2.81309,0.817166,2.3449,4.94912,1134.36,0.0117794,2.82353e-10
6,42,2.81118,0.724974,2.3634,4.97986,1123.79,0.00669436,5.94259e-10
7,42,2.81489,0.780624,2.34016,4.94605,1118.78,0.0111028,1.62602e-10
8,42,2.82644,0.759147,2.31243,4.95149,1112.56,0.0070234,1.0826e-10
9,42,2.81143,0.70584,2.33312,4.91027,1117.51,0.00786217,5.36307e-10
10,42,2.81397,0.734858,2.34038,4.88985,1119.08,0.0101452,1.37838e-10
1,43,2.81264,0.570161,2.31868,4.9131,1119.48,0.0127013,2.0021e-10
2,43,2.81635,0.580718,2.34221,4.92205,1119.07,0.00801125,7.49202e-11
3,43,2.80192,0.559533,2.3561,4.94821,1117.02,0.00935618,2.48769e-10
4,43,2.80616,0.564762,2.36363,4.93053,1110.31,0.00734369,1.11038e-10
5,43,2.80516,0.581266,2.33863,4.87497,1124.36,0.00780083,2.46566e-10
6,43,2.81108,0.557712,2.32447,4.93188,1113.14,0.0105532,2.48752e-10
7,43,2.81422,0.551589,2.34925,4.95316,1118.35,0.00996647,1.81599e-10
8,43,2.82241,0.527356,2.30988,4.84148,1114.76,0.0148222,1.40704e-10
9,43,2.81396,0.552433,2.35973,4.91224,1113.98,0.0112503,2.48604e-10
10,43,2.82129,0.566766,2.3496,4.93852,1116.53,0.0118442,1.36336e-10
1,44,2.81157,0.783343,2.33658,4.93821,1108.12,0.00968938,3.49697e-10
2,44,2.82646,0.783617,2.35899,4.92598,1116.89,0.00961877,1.63321e-10
3,44,2.80764,0.712506,2.33894,4.95329,1119.79,0.00926723,1.39929e-10
4,44,2.81652,0.772245,2.37072,4.92024,1104.09,0.0105302,1.23512e-10
5,44,2.81589,0.740647,2.30695,4.90615,1118.27,0.00919428,1.54017e-10
6,44,2.81929,0.784725,2.33388,4.86184,1115.8,0.0085128,2.40055e-10
7,44,2.81134,0.798556,2.35301,4.91244,1118.85,0.0097939,1.9911e-10
8,44,2.8076,0.771791,2.34758,4.91004,1119.17,0.00836261,1.98953e-10
9,44,2.82382,0.786666,2.39216,4.91379,1114.43,0.0101696,3.15732e-10
10,44,2.79895,0.816392,2.34876,4.99689,1114,0.0136328,3.51951e-10
1,45,2.79949,0.476796,2.33328,4.91061,1124.7,0.011447,3.26396e-10
2,45,2.82555,0.506695,2.34965,4.97621,1120.91,0.00965955,1.50814e-10
3,45,2.80609,0.500608,2.35059,4.96982,1107.88,0.0104346,3.81018e-10
4,45,2.81574,0.488498,2.3208,4.93645,1120.25,0.00923048,8.87842e-11
5,45,2.81261,0.4939,2.34762,4.95794,1111.05,0.0104621,2.27954e-10
6,45,2.8026,0.477082,2.32074,4.98792,1117.06,0.0102773,2.33224e-10
7,45,2.81885,0.51602,2.33722,4.88155,1113.69,0.00946762,1.43333e-10
8,45,2.81055,0.492261,2.33959,4.96363,1121.49,0.012293,2.04547e-10
9,45,2.81597,0.478209,2.35051,4.92133,1115.7,0.00992436,2.50464e-10
10,45,2.82693,0.466809,2.3601,4.86694,1123.7,0.00849369,1.49711e-10
