id,Cl_SAEM,V1_SAEM,Q_SAEM,V2_SAEM,R0_SAEM,kout_SAEM,IC50_SAEM,Cl_mean,V1_mean,Q_mean,V2_mean,R0_mean,kout_mean,IC50_mean,Cl_mode,V1_mode,Q_mode,V2_mode,R0_mode,kout_mode,IC50_mode,Cl_sd,V1_sd,Q_sd,V2_sd,R0_sd,kout_sd,IC50_sd
26,2.81297,0.538349,2.32824,4.93213,1113.06,0.00795679,2.15255e-10,2.81473,0.541533,2.32961,4.94631,1114.57,0.00755853,2.31664e-10,2.81445,0.538672,2.32957,4.93902,1114.91,0.00800406,2.06334e-10,0.0074403,0.0179291,0.0163008,0.0390511,5.79105,0.00141521,1.07233e-10
27,2.81623,0.593879,2.32491,4.95198,1113.86,0.0079297,2.09364e-10,2.81726,0.592769,2.32615,4.9499,1114.66,0.00797114,2.2329e-10,2.81657,0.591237,2.32549,4.95212,1114.5,0.00808884,2.06002e-10,0.00815109,0.0198732,0.0174038,0.0396266,5.34178,0.00134341,1.07084e-10
28,2.82274,0.954683,2.30683,4.97196,1114.23,0.00780033,2.51622e-10,2.82148,0.950545,2.31154,4.96542,1115.32,0.00803836,2.22209e-10,2.82167,0.948809,2.31099,4.96552,1114.78,0.007886,2.10719e-10,0.00819262,0.0318504,0.0187201,0.0373804,5.83091,0.00145023,9.66379e-11
29,2.81793,0.625339,2.32644,4.94429,1113.7,0.00760267,2.35688e-10,2.81831,0.629781,2.32833,4.95319,1113.96,0.00761104,2.34042e-10,2.81789,0.62494,2.3284,4.95034,1114.51,0.00761419,2.09842e-10,0.00741863,0.0249142,0.0183344,0.0415663,6.24855,0.00133838,9.69087e-11
30,2.81854,1.08737,2.32483,4.92726,1114.49,0.00729592,2.48095e-10,2.81916,1.10118,2.32889,4.93353,1115.42,0.00754086,2.42244e-10,2.81924,1.0955,2.32652,4.93242,1114.84,0.00747583,2.11596e-10,0.0070143,0.0414398,0.0200747,0.0464293,5.98478,0.00132204,1.03813e-10
31,2.81498,0.803827,2.3205,4.95587,1115.85,0.00950448,2.25848e-10,2.81592,0.804699,2.32642,4.95967,1115.36,0.0100709,2.16608e-10,2.81611,0.802092,2.32478,4.95478,1115.62,0.00949902,2.09485e-10,0.00694288,0.0274587,0.0176076,0.0425249,6.40867,0.0015954,9.89697e-11
32,2.81521,0.322627,2.33225,4.93997,1114.15,0.0100951,2.18888e-10,2.81607,0.323266,2.33339,4.94013,1115.23,0.00987884,2.17097e-10,2.81539,0.323646,2.33326,4.94533,1115.32,0.0103152,1.99705e-10,0.00716509,0.0129422,0.017819,0.0467822,6.40086,0.00152771,9.08114e-11
33,2.81265,0.774808,2.3317,4.94992,1115.36,0.00961133,2.07643e-10,2.81441,0.77907,2.33016,4.94801,1115.69,0.00957942,2.08587e-10,2.81368,0.774458,2.33289,4.94804,1115.39,0.00944742,2.10352e-10,0.00697922,0.0287311,0.0194109,0.0430469,5.17023,0.00165987,8.50065e-11
34,2.81806,0.953861,2.32386,4.94214,1115.29,0.00963387,2.01499e-10,2.81854,0.940401,2.3276,4.9421,1114.12,0.0101137,2.20709e-10,2.81862,0.94596,2.32689,4.94243,1115.29,0.0100216,1.98102e-10,0.00762941,0.0345925,0.0174908,0.04877,6.02718,0.00134009,9.49775e-11
35,2.81725,0.493604,2.33016,4.93967,1115.6,0.00977719,2.23056e-10,2.81652,0.492101,2.33315,4.93158,1114.87,0.00966255,2.16847e-10,2.81609,0.491262,2.33157,4.93857,1115.41,0.00955761,2.04816e-10,0.00817677,0.0177351,0.0171312,0.0457938,6.65668,0.00155419,1.00441e-10
