rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_R0,eta_kout,eta_IC50
7,7,-0.000642786,0.0290432,-0.010473,0.00559948,-0.00422709,-0.210336,0.015937
8,7,-0.000334564,0.0986307,-0.0150821,0.00527121,0.00393584,-0.584215,0.320344
9,7,0.00159108,0.0779837,-0.00919899,-0.00074754,-0.00299728,-0.301941,-0.294652
10,7,0.00397467,0.0483158,-0.00741647,0.00640153,0.00166234,-0.284053,-0.225257
1,8,0.00548346,0.430512,-0.00174986,0.00615477,-0.00251497,-0.259751,0.458439
2,8,-0.000476709,0.345979,-0.00126696,0.00244148,0.0040651,0.121277,0.0378195
3,8,0.00204507,0.327937,0.00167479,0.00163753,0.00252781,-0.248861,0.4644
4,8,0.00207314,0.452992,-0.0105787,0.00197713,-0.00795723,-0.152426,0.0331984
5,8,0.000971347,0.326688,-0.00673318,-0.00249786,0.00589762,-0.444878,0.262103
6,8,0.00130177,0.394079,0.00310657,-0.00152303,-0.00278054,-0.469807,0.122079
7,8,-0.00173448,0.315508,0.00911962,-0.00467077,-0.00124106,-0.0991738,-0.013179
8,8,-0.00175059,0.313199,0.00331478,-0.0150818,-0.00760608,0.0512826,-0.41992
9,8,-4.67121e-05,0.384513,-0.00247306,0.00147495,0.00196121,-0.320293,0.108534
10,8,0.00274545,0.400099,-0.00823918,0.00112683,0.00292103,-0.191305,0.0173513
1,9,-0.000112496,0.291938,-0.00920637,0.00211111,-0.0116492,-0.20855,0.41568
2,9,0.00462704,0.241388,0.00767099,0.0158223,-0.00278962,-0.190241,0.344039
3,9,-0.00254229,0.227644,-0.00751096,-0.00541299,-0.00232375,-0.374726,-0.137236
4,9,-0.000579559,0.31017,-0.00448024,-0.00229381,-0.0026288,-0.291332,-0.303214
5,9,0.00256479,0.268779,-0.00988629,0.0037802,-0.0001648,-0.300874,0.364152
6,9,0.000671008,0.292327,-0.00722493,-0.013511,-0.0013282,0.0179879,0.0686286
7,9,-0.000427344,0.253493,-0.00832247,-0.00912302,-0.000332507,-0.225091,0.0604206
8,9,0.00620162,0.33166,-0.00350314,-0.0139197,-0.00875983,-0.267987,0.308402
9,9,-0.000169197,0.212527,0.00374731,0.00209753,-0.00249131,-0.123868,-1.21076
10,9,0.00330896,0.224702,-0.0132911,0.00568155,0.00472604,-0.128676,0.274123
1,10,-0.0037902,0.249192,0.00761643,0.00287998,-0.00900202,-0.343577,0.525218
2,10,-0.000658546,0.27936,0.0159324,-0.00417452,-0.00530823,0.0737729,0.0138673
3,10,0.000200709,0.290849,-0.00821992,0.00825798,0.000898154,-0.334518,-0.366489
4,10,-0.00190637,0.262131,-0.00770238,-0.00508912,0.00558995,-0.210897,0.0517034
5,10,0.00144674,0.251024,0.00360808,-0.00165666,-0.00257843,-0.269923,0.155003
6,10,0.00376486,0.296142,0.0011529,-0.00168538,-0.00358772,-0.340929,-0.327813
7,10,-0.002455,0.27238,0.00496265,-0.00105472,0.00317701,-0.321903,0.307293
8,10,-0.00207453,0.295858,-0.00551914,-0.00906649,0.00645613,-0.622428,-0.819166
9,10,0.000339953,0.304599,-0.000415404,-0.0170414,0.00266603,-0.0303937,-0.424232
10,10,-0.00047893,0.279239,0.00598407,0.00358938,-0.0039241,-0.23439,0.869103
1,11,-0.00178361,0.764206,-0.00074705,0.00221008,-0.000341263,-0.197096,0.549783
2,11,0.00467503,0.652383,0.0092635,0.000593006,-0.0115815,0.0944619,0.599661
3,11,-0.00122889,0.620634,0.0138368,-0.00399256,0.00334197,-0.0715454,-0.594597
4,11,-0.000909207,0.70643,0.00862064,0.00417109,0.00331914,-0.307482,0.211322
5,11,0.00192308,0.669024,-0.00398897,-0.0111628,0.00540798,-0.271728,0.062594
6,11,2.3007e-05,0.655748,0.00545128,0.00165135,-0.000721249,0.0527696,-0.579021
7,11,0.000970465,0.615255,0.000162502,-0.00168133,0.00992913,-0.412146,-0.524013
8,11,0.00115798,0.613755,0.000725049,0.00178986,-0.00373327,-0.0745471,0.538443
9,11,-0.00222982,0.590553,0.0100092,-0.00592329,0.00110616,-0.267588,-0.172879
10,11,0.00274721,0.590348,0.013795,-0.00349856,0.000300425,-0.313524,-0.224155
1,12,0.00186087,-0.220839,0.00124601,-0.000567926,-0.00433126,-0.485484,-0.221803
2,12,0.00116329,-0.18292,0.000938036,-0.00165251,0.00747224,-0.341216,0.270189
3,12,0.00294092,-0.161476,0.00247725,-0.00428769,-0.00280361,-0.43293,0.00728031
4,12,0.00201068,-0.194012,-0.00615962,-0.0149616,-0.0056474,0.190036,-0.297467
5,12,-0.0023434,-0.167584,-0.000540195,0.00343762,0.00517919,-0.355851,-0.387268
6,12,-0.0052009,-0.112323,0.0110555,-0.00807627,-0.00854532,-0.272295,-0.0490656
7,12,-0.0026718,-0.210191,0.00201844,0.00336108,0.00196392,0.0562045,0.362868
8,12,-0.00615669,-0.235319,-0.00730527,-0.00291143,-0.00721133,-0.178974,0.000129433
9,12,0.00194238,-0.198403,-0.000495835,-0.00228444,-0.00574777,-0.232325,0.317268
10,12,0.000926719,-0.187017,0.00488789,0.0015675,0.0114773,-0.339882,-0.367231
1,13,-0.0025098,-0.109484,-0.0139978,-0.00124328,0.00179652,-0.22367,0.112411
2,13,0.000331135,-0.144386,-0.00295955,0.00782827,-0.00627764,-0.45534,-0.702529
3,13,0.00127841,-0.16153,-0.000750433,0.00222812,-0.00289761,-0.149957,0.689878
4,13,7.48599e-05,-0.210735,0.000165796,0.00718107,-0.00835644,-0.267386,-0.072103
5,13,-0.00144294,-0.183562,0.00132397,0.00460794,-0.00224378,-0.274973,-0.346155
6,13,-0.00418513,-0.180544,-0.0129619,0.00645566,-0.00285984,0.142855,0.721014
7,13,-0.00475384,-0.186997,-0.0130343,0.0032732,-0.00506988,-0.0783003,0.172489
8,13,0.000320289,-0.183259,-0.00286976,0.0117963,-0.00566955,-0.266491,0.148236
9,13,0.00748098,-0.169361,-0.00105677,0.00080054,0.0018965,-0.226247,-0.732003
10,13,-0.00162819,-0.215569,-0.000313461,-0.0066594,0.000239581,-0.162293,0.115762
1,14,-0.00479917,-0.0656354,0.0032217,-0.00777589,-0.00979837,-0.101117,0.758594
2,14,0.000112212,-0.0819962,-0.00125369,-0.00855683,-0.00282255,-0.255957,0.209452
3,14,-0.00244218,-0.113749,-0.00817548,-0.0106041,-0.002648,-0.169047,-0.232181
4,14,-0.000978501,-0.115705,0.00156868,-0.00620825,0.000982034,-0.000482279,0.242579
5,14,-0.0011399,-0.134768,-0.000318058,-0.0101215,-0.00443331,-0.230368,-0.426851
6,14,-0.00285837,-0.124315,0.028053,0.00690321,-0.00546373,0.0189295,-0.200795
7,14,0.00126499,-0.0780832,-0.00101799,-0.0096218,0.00221364,-0.651212,-0.161865
8,14,-0.00387777,-0.082174,0.00652782,-0.00400746,0.00473621,-0.420823,0.422386
9,14,-0.00212306,-0.0044072,0.00561333,0.00444214,-0.00379805,-0.132768,-0.278317
10,14,0.000172802,-0.0683703,0.0138942,-0.0157769,-0.0085122,-0.399767,-0.371577
1,15,0.000719408,-0.035929,0.00638733,0.00401538,0.00146196,-0.578173,0.80704
2,15,-0.00188309,-0.0758301,0.000583911,0.0053387,-0.00501347,-0.0377453,-0.0799634
3,15,-0.00165884,-0.0717365,0.00298814,0.0101075,-0.00203532,0.230129,0.401734
4,15,-0.00608535,-0.101597,0.0129367,0.000838465,-0.00238901,0.254535,-0.288353
5,15,-0.00452413,-0.0326488,-0.00798061,-0.0179869,-0.00782618,-0.121742,0.0946228
6,15,-0.00323855,-0.0512038,0.00990269,0.00743895,0.000981194,-0.00755243,0.473984
7,15,0.00507769,-0.117277,0.0146721,-0.00323036,0.010444,-0.0200472,-0.762255
8,15,0.00173003,-0.0186388,0.00906477,-0.0036376,-0.00437076,0.0773839,-0.60158
9,15,0.000545279,-0.0540908,0.00887715,0.0129807,0.00273235,-0.379289,0.411898
10,15,-0.000556131,-0.0815912,-0.00141802,0.00652303,0.00710574,-0.368227,-0.291315
1,16,-0.00141017,-0.0799067,0.0092723,0.00740515,-0.0042771,-0.112226,-0.330831
2,16,-0.00274584,-0.123708,-0.0108584,0.0066792,-0.00111504,-0.168725,-0.412203
3,16,-0.000816649,-0.0934958,0.00284733,0.00626763,-0.0016919,0.141629,-0.0759588
4,16,1.3073e-06,-0.0774018,0.00778831,0.0117067,0.00313942,0.131343,-0.562213
5,16,-0.00177097,-0.120646,-0.0118033,0.0125041,0.00305211,-0.00697965,1.17094
6,16,0.00228262,-0.185471,-0.0120454,-0.00718719,0.00380423,0.110734,-0.145573
7,16,0.00012569,-0.11821,0.00888417,0.0134775,-0.00199173,-0.127198,0.267016
8,16,-0.00148575,-0.110384,-0.00981221,0.00673833,0.00686168,0.0821343,0.569641
9,16,-0.00016421,-0.130431,0.0039465,0.00880217,-0.00761666,0.18818,0.0608031
10,16,-0.00103953,-0.113161,-0.00222154,-0.00189226,-0.0103012,-0.244253,-0.4163
1,17,-0.00171721,-0.342142,0.00247812,0.00370938,0.00502409,0.0835371,-0.152839
2,17,0.000509136,-0.339511,-0.00181531,0.000347776,-0.000748539,0.27348,0.0540376
3,17,-5.01407e-05,-0.384349,-0.0113333,-0.0032195,-0.000720031,-0.366304,-0.103359
4,17,0.00128514,-0.350269,0.0126665,-0.00332591,-0.00203737,-0.231244,-0.525931
5,17,-0.0016584,-0.407755,0.0135272,-0.0122752,0.000926637,0.0619145,-1.31881
6,17,-0.00270967,-0.337697,0.00615145,-0.00884082,-0.000614369,-0.163061,-0.797937
7,17,-0.00254374,-0.316331,0.00625342,0.00328863,-0.000716707,0.15576,-0.298362
8,17,-0.00286837,-0.321809,0.0034862,-0.00210527,0.00261566,0.110057,0.67992
9,17,-0.0028791,-0.334405,-0.00242832,-0.00379822,-0.00312582,-0.327578,-0.364602
10,17,-0.000681938,-0.335199,0.000672987,-0.00169623,-0.0107747,0.102862,-0.321979
1,18,-0.00326728,-0.0804915,0.00205717,0.00460307,0.000550327,-0.284981,-0.101503
2,18,0.00350493,-0.113048,0.0160879,-0.0222671,-0.00129468,0.088597,-0.395843
3,18,0.00545245,-0.0356465,0.018125,0.00179555,0.00763583,-0.292014,0.128331
4,18,-0.00214864,-0.143622,0.00456898,-0.0104743,-0.00495571,-0.154471,0.221878
5,18,-0.000767674,-0.022038,-0.000622878,0.0100185,-0.00611512,-0.176653,0.0688449
6,18,-0.00157777,-0.097776,0.00746971,0.0040045,-0.00570038,0.123046,0.0144555
7,18,0.00278771,0.00362372,0.00609061,-0.0109494,0.00452996,-0.0606372,0.353951
8,18,0.000227486,-0.0661775,0.0173203,-0.00971865,-0.0118059,0.302993,-0.309979
9,18,-0.00470156,-0.070716,0.00616657,-0.00116894,-0.00367368,-0.117806,-0.733546
10,18,-0.00178354,-0.114384,0.00470563,-0.002032,0.00931624,-0.300573,-0.16686
1,19,-0.000185318,0.242445,-0.00824961,-0.0279488,-0.00286639,-0.0560826,-0.652182
