id,importanceSampling
1,-391.497864
2,-394.930169
3,-384.148885
4,-392.769300
5,-385.672872
6,-404.382057
7,-385.491093
8,-371.632582
9,-414.858709
10,-390.230821
11,-405.735299
12,-401.496308
13,-388.783725
14,-391.113669
15,-381.751867
16,-331.475523
17,-316.653579
18,-328.035468
19,-328.520631
20,-343.808842
21,-329.695221
22,-324.788948
23,-334.836148
24,-302.285831
25,-316.294462
26,-316.629567
27,-319.125912
28,-335.228307
29,-324.355520
30,-323.493134
31,-276.963247
32,-286.758874
33,-294.164744
34,-290.167652
35,-263.025800
36,-287.411582
37,-308.189884
38,-259.432250
39,-279.470483
40,-272.340693
41,-289.251301
42,-277.643127
43,-290.813973
44,-287.725622
45,-303.477413
