Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"K_{cl}_typ, L/hr",1.048074426698952,1.048076328501934,1.0480788809815273,1.0480748346090765,1.048075544807682,1.0480732083131146,1.0480755788991583,1.0480740717954553,1.0480757146908637,1.048074963915463,1.0480753553213227,2.8
omega_{K_{cl}},0.12230229380536058,0.12229988116598015,0.12229895667363483,0.12230025411873931,0.12229861954678549,0.12230323096568008,0.12230090971604354,0.12229889444239574,0.12229942271723841,0.12229798449999431,0.12230004476518523,1e-05
"V_c, L",5.940080746774035,5.940074540304399,5.9400804549001425,5.940073859463187,5.940072846348209,5.940090475623752,5.9400816814337265,5.940073057144911,5.940075502060883,5.94007683326605,5.94007799973193,5.58
"\sigma_{m, PK}",0.1574221107713267,0.15742207556946652,0.1574225786245771,0.1574221845172302,0.15742220423733444,0.15742161488489567,0.15742173994672423,0.15742192053248114,0.15742190297846342,0.15742193973173269,0.15742202717942322,0.091
Log-posterior,6397.696345654257,6397.696509709298,6397.696495178992,6397.696346348643,6397.696346294609,6397.696345311404,6397.696346072621,6397.696346328408,6397.696346325302,6397.696346377733,nan,nan
