,Parameter,Constant Noise,Multiplicative Noise,Multiplicative Noise-FE,Combined Noise,Combined Noise-FE
0,R_0,921.343099018615,985.1433642408483,987.1540522619232,985.4349442315015,987.154120788447
1,MTT,76.85821909093086,84.9801646545756,84.45260029288222,84.41731698942712,84.45257375102304
2,gamma,0.4135507237141618,0.41822383211467895,0.4137931513679861,0.4119297986047358,0.41379287979113294
3,s,19.969287969046874,16.34764210884708,16.861846994981814,16.56176738052991,16.861864971868364
4,sigma_c,171.31027682992527,,,36.695666125513604,0.0010000000066402942
5,eta,,1.2615537188739738,,1.668418026444786,
6,sigma_m,,0.022989684210543197,0.13820477954008775,0.0010000000002206326,0.13820370280412506
7,likelihood,114.06346619676316,125.82786709743652,125.8612817455795,125.79452627519669,125.86128320511065
