Parameter,Combined,Combined-fix eta,Multiplicative,Multiplicative-fix eta,Constant
"R_0, 10^3/\mu \ textrm{L}",984.5632647706632,990.0837341374759,989.2630552551757,987.5638444608048,990.0531167224681
"MTT, \ textrm{hr}",496.8773492668584,88.25049567752266,90.54493168248169,90.86561523896175,87.73454448495639
\gamma,1.7273054427378907,0.48098726810133163,0.5132179216807672,0.5188178312262293,0.4745858368759811
"S, \ textrm{L}/\ textrm{mg}",10.175942152241698,14.633788576215887,12.7350630303333,12.128933509737525,14.922356932300339
"\sigma_{c, PD}",220.84949072998148,165.2134112624304,,,193.98380864064933
\eta,0.6147939115971993,,0.8109393678636428,,
"\sigma_{m, PD}",0.4415361535639705,0.030173995184712327,0.7513283801680034,0.2076317470397676,
Likelihood,-2449.0923464219186,-2360.0617156139256,-2371.4076236158585,-2374.3243746349062,-2355.7478411152097
