Parameter,Constant Noise,Relative Noise,Relative Noise.1,Combined Noise,Combined Noise.1
$R_0$,989.9644015921772,989.6957058213698,987.5459643253548,989.5789339560248,990.3187534718484
$MTT$,87.65017557799464,89.49448559848074,90.63089712902928,88.12077127086825,87.11350463305308
$\gamma$,0.4724289473389088,0.4981542614602727,0.5155107966222056,0.4806012577682454,0.4655657282343488
$S$,15.02514462744598,12.84506263083174,12.05624808420144,14.774222660560303,15.052242810149322
"$\sigma_{c, PD}$",193.7663521738827,,,193.08308796689755,192.80354474089063
$\eta$,,0.7705138571069339,,0.8146414361712108,
"$\sigma_{m, PD}$",,0.9899999999999938,0.207393132392038,0.0010627019468581,0.0010000000000016
Likelihood,-2048.080777300016,-2381.327693490409,-2385.029195065353,-2373.392093028067,-2373.4020290160315
