id,importanceSampling
1,-353.635304
2,-269.657537
3,-248.865984
4,-348.192167
5,-335.928175
6,-360.633157
7,-238.914583
8,-344.800620
9,-340.884706
10,-270.880616
11,-351.236935
12,-346.577455
13,-351.174570
14,-301.063051
15,-349.326325
16,-207.027368
17,-190.007295
18,-277.875797
19,-275.267565
20,-288.518350
21,-180.922807
22,-264.955064
23,-272.673463
24,-181.136221
25,-286.711184
26,-273.154813
27,-280.555143
28,-225.888332
29,-280.653896
30,-254.334462
31,-144.835293
32,-235.073930
33,-215.307447
34,-244.494694
35,-144.650239
36,-228.311621
37,-244.414832
38,-140.532565
39,-246.824969
40,-230.403224
41,-237.892722
42,-207.322555
43,-234.839547
44,-199.836296
45,-185.664317
