id,importanceSampling
1,-326.228364
2,-80.936843
3,-337.417362
4,-326.483452
5,-350.950882
6,-72.383703
7,-324.509395
8,-333.263189
9,-297.365759
10,-339.259479
11,-360.434812
12,-325.569582
13,-341.893832
14,-338.339036
15,-337.535418
16,-34.930451
17,-266.502338
18,-252.988510
19,-275.066460
20,-18.770260
21,-255.129618
22,-263.503967
23,-224.861334
24,-267.061280
25,-290.638908
26,-250.218241
27,-269.340614
28,-270.692484
29,-271.875684
30,-262.814356
31,-227.058755
32,-210.215052
33,-244.267517
34,1.682971
35,-218.069474
36,-220.443670
37,-192.993571
38,-221.827019
39,-253.652204
40,-213.079473
41,-228.257400
42,-230.210962
43,-231.513769
44,-223.841752
45,-198.189283
