rep,id,V,Cl
1,1,5.26517,2.16319
2,1,5.26517,2.14423
3,1,5.26517,2.23029
4,1,5.26517,2.09199
5,1,5.26517,2.15402
6,1,5.26517,2.19936
7,1,5.26517,2.15997
8,1,5.26517,2.19638
9,1,5.26517,2.10037
10,1,5.26517,2.24157
1,2,5.26517,3.64588
2,2,5.26517,3.59952
3,2,5.26517,3.64588
4,2,5.26517,3.6358
5,2,5.26517,3.62723
6,2,5.26517,3.66694
7,2,5.26517,3.57212
8,2,5.26517,3.61016
9,2,5.26517,3.55961
10,2,5.26517,3.6289
1,3,5.26517,2.32267
2,3,5.26517,2.35892
3,3,5.26517,2.43614
4,3,5.26517,2.33132
5,3,5.26517,2.35167
6,3,5.26517,2.35493
7,3,5.26517,2.39511
8,3,5.26517,2.36036
9,3,5.26517,2.34154
10,3,5.26517,2.31798
1,4,5.26517,2.9488
2,4,5.26517,2.85679
3,4,5.26517,2.92997
4,4,5.26517,2.86207
5,4,5.26517,2.91884
6,4,5.26517,2.9403
7,4,5.26517,2.9319
8,4,5.26517,2.89878
9,4,5.26517,2.90493
10,4,5.26517,2.93427
1,5,5.26517,3.14776
2,5,5.26517,3.15931
3,5,5.26517,3.17045
4,5,5.26517,3.2276
5,5,5.26517,3.21788
6,5,5.26517,3.15651
7,5,5.26517,3.12252
8,5,5.26517,3.18864
9,5,5.26517,3.16877
10,5,5.26517,3.1786
1,6,5.26517,3.55003
2,6,5.26517,3.49235
3,6,5.26517,3.47413
4,6,5.26517,3.504
5,6,5.26517,3.45102
6,6,5.26517,3.55837
7,6,5.26517,3.55813
8,6,5.26517,3.5813
9,6,5.26517,3.49705
10,6,5.26517,3.54601
1,7,5.26517,2.72025
2,7,5.26517,2.81482
3,7,5.26517,2.71039
4,7,5.26517,2.72765
5,7,5.26517,2.7673
6,7,5.26517,2.65867
7,7,5.26517,2.77242
8,7,5.26517,2.69924
9,7,5.26517,2.71093
10,7,5.26517,2.77891
1,8,5.26517,2.1065
2,8,5.26517,2.02131
3,8,5.26517,2.03442
4,8,5.26517,2.08273
5,8,5.26517,2.06863
6,8,5.26517,1.99902
7,8,5.26517,2.02129
8,8,5.26517,2.03828
9,8,5.26517,2.02396
10,8,5.26517,2.02102
1,9,5.26517,2.54293
2,9,5.26517,2.63993
3,9,5.26517,2.71457
4,9,5.26517,2.70485
5,9,5.26517,2.67215
6,9,5.26517,2.64561
7,9,5.26517,2.68121
8,9,5.26517,2.66477
9,9,5.26517,2.68183
10,9,5.26517,2.60281
1,10,5.26517,2.78988
2,10,5.26517,2.71932
3,10,5.26517,2.61271
4,10,5.26517,2.76611
5,10,5.26517,2.72104
6,10,5.26517,2.72099
7,10,5.26517,2.77779
8,10,5.26517,2.62571
9,10,5.26517,2.7328
10,10,5.26517,2.73249
1,11,5.26517,2.29376
2,11,5.26517,2.30978
3,11,5.26517,2.34696
4,11,5.26517,2.33044
5,11,5.26517,2.31686
6,11,5.26517,2.30002
7,11,5.26517,2.30976
8,11,5.26517,2.29204
9,11,5.26517,2.36931
10,11,5.26517,2.32143
1,12,5.26517,5.23269
2,12,5.26517,5.30023
3,12,5.26517,5.28988
4,12,5.26517,5.31574
5,12,5.26517,5.18529
6,12,5.26517,5.27573
7,12,5.26517,5.29076
8,12,5.26517,5.21285
9,12,5.26517,5.24978
10,12,5.26517,5.3745
1,13,5.26517,2.32487
2,13,5.26517,2.35429
3,13,5.26517,2.34665
4,13,5.26517,2.33031
5,13,5.26517,2.34241
6,13,5.26517,2.38007
7,13,5.26517,2.39214
8,13,5.26517,2.34403
9,13,5.26517,2.3518
10,13,5.26517,2.33718
1,14,5.26517,1.85452
2,14,5.26517,1.8088
3,14,5.26517,1.78407
4,14,5.26517,1.84153
5,14,5.26517,1.78874
6,14,5.26517,1.871
7,14,5.26517,1.88764
8,14,5.26517,1.81472
9,14,5.26517,1.80629
10,14,5.26517,1.80969
1,15,5.26517,2.68518
2,15,5.26517,2.72951
3,15,5.26517,2.73084
4,15,5.26517,2.76401
5,15,5.26517,2.68872
6,15,5.26517,2.78528
