rep,id,eta_V,eta_Cl
2,19,0.145626,-0.581997
3,19,0.166868,-0.557392
4,19,0.170287,-0.585988
5,19,0.172226,-0.582407
6,19,0.126249,-0.594988
7,19,0.140456,-0.565843
8,19,0.122086,-0.595423
9,19,0.0985391,-0.574598
10,19,0.156467,-0.616614
1,20,-0.144909,0.320457
2,20,-0.108628,0.346997
3,20,-0.175489,0.300619
4,20,-0.15748,0.304845
5,20,-0.142391,0.320721
6,20,-0.186138,0.295329
7,20,-0.130904,0.330278
8,20,-0.150752,0.32206
9,20,-0.146659,0.317056
10,20,-0.1621,0.316046
1,21,-0.367118,0.456253
2,21,-0.372369,0.450547
3,21,-0.321468,0.489699
4,21,-0.328172,0.486253
5,21,-0.308205,0.500848
6,21,-0.312473,0.497395
7,21,-0.312708,0.501502
8,21,-0.328616,0.483633
9,21,-0.365569,0.464641
10,21,-0.345338,0.476835
1,22,0.227325,0.569478
2,22,0.215175,0.562169
3,22,0.234694,0.565538
4,22,0.214336,0.550045
5,22,0.234381,0.56505
6,22,0.238981,0.575082
7,22,0.21736,0.572547
8,22,0.207782,0.552602
9,22,0.260715,0.5848
10,22,0.204032,0.545699
1,23,0.0458761,-0.0768817
2,23,0.0721127,-0.0605466
3,23,0.0846302,-0.0448596
4,23,0.0342611,-0.0811442
5,23,0.0590656,-0.0583434
6,23,0.0172503,-0.095076
7,23,0.0622597,-0.0511234
8,23,0.0461121,-0.0592385
9,23,0.0495766,-0.0731259
10,23,0.054657,-0.0621332
1,24,0.210844,-0.116752
2,24,0.235678,-0.123086
3,24,0.207176,-0.135537
4,24,0.148931,-0.14954
5,24,0.18161,-0.121879
6,24,0.186888,-0.129565
7,24,0.166801,-0.128658
8,24,0.191815,-0.132857
9,24,0.181814,-0.138814
10,24,0.1746,-0.142248
1,25,-0.334812,-0.461954
2,25,-0.337183,-0.451127
3,25,-0.303038,-0.420725
4,25,-0.294179,-0.444142
5,25,-0.366106,-0.472171
6,25,-0.345115,-0.451834
7,25,-0.376731,-0.461421
8,25,-0.399326,-0.471106
9,25,-0.376835,-0.459912
10,25,-0.379117,-0.477996
1,26,-0.0967046,0.417663
2,26,-0.0999565,0.408392
3,26,-0.0933743,0.435385
4,26,-0.0849804,0.437861
5,26,-0.0725488,0.431618
6,26,-0.0762481,0.44021
7,26,-0.0908735,0.421216
8,26,-0.0832018,0.428652
9,26,-0.0655307,0.44095
10,26,-0.0819142,0.430089
1,27,-0.0649568,-0.520552
2,27,-0.0777968,-0.536415
3,27,-0.106424,-0.552373
4,27,-0.0663802,-0.521365
5,27,-0.0511021,-0.520159
6,27,-0.0670285,-0.528889
7,27,-0.0498857,-0.535298
8,27,-0.0346747,-0.524149
9,27,-0.0453549,-0.517545
10,27,-0.0995186,-0.505274
1,28,0.143453,-0.301309
2,28,0.14096,-0.301904
3,28,0.0985073,-0.329269
4,28,0.127054,-0.319086
5,28,0.0978193,-0.32417
6,28,0.139835,-0.28848
7,28,0.123541,-0.291648
8,28,0.126619,-0.312196
9,28,0.118786,-0.297319
10,28,0.193904,-0.313869
1,29,0.16802,0.19948
2,29,0.160656,0.195225
3,29,0.140585,0.169939
4,29,0.176913,0.200011
5,29,0.182082,0.203468
6,29,0.167991,0.190424
7,29,0.157123,0.189842
8,29,0.199866,0.191681
9,29,0.140073,0.182819
10,29,0.197463,0.214424
1,30,-0.139188,0.240005
2,30,-0.131893,0.253679
3,30,-0.150274,0.244322
4,30,-0.147791,0.234539
5,30,-0.157852,0.237027
6,30,-0.109979,0.273915
7,30,-0.145075,0.239938
8,30,-0.139269,0.241167
9,30,-0.15029,0.241034
10,30,-0.140914,0.246099
1,31,-0.450209,0.0224083
2,31,-0.421352,0.0615012
3,31,-0.405632,0.0629849
4,31,-0.463704,0.0217502
5,31,-0.403453,0.0620663
6,31,-0.446405,0.0388811
7,31,-0.398552,0.0605255
8,31,-0.445589,0.0309858
9,31,-0.443726,0.0427207
10,31,-0.403413,0.0712604
1,32,0.187785,0.158667
2,32,0.219411,0.174944
3,32,0.188254,0.158496
4,32,0.219957,0.161133
5,32,0.18924,0.153382
6,32,0.221387,0.149782
7,32,0.253815,0.175297
8,32,0.21932,0.163441
9,32,0.260531,0.189543
10,32,0.243238,0.170918
1,33,0.165628,-0.55986
2,33,0.14476,-0.531912
3,33,0.186827,-0.576347
4,33,0.108504,-0.553751
5,33,0.198015,-0.556206
6,33,0.0888392,-0.573039
7,33,0.183913,-0.545147
8,33,0.112918,-0.538456
9,33,0.161475,-0.522588
10,33,0.133575,-0.542925
1,34,-0.270508,0.250746
2,34,-0.199089,0.303277
3,34,-0.157401,0.327154
4,34,-0.191482,0.29606
5,34,-0.180648,0.310125
6,34,-0.210406,0.291329
7,34,-0.205273,0.302914
8,34,-0.211236,0.290923
9,34,-0.2431,0.272681
10,34,-0.184476,0.308675
1,35,-0.37772,0.450985
2,35,-0.330491,0.487256
3,35,-0.337523,0.482083
4,35,-0.313136,0.497272
5,35,-0.29712,0.509215
6,35,-0.339229,0.482416
7,35,-0.282957,0.518354
8,35,-0.364309,0.454763
9,35,-0.304394,0.498758
10,35,-0.324087,0.49333
1,36,0.328483,0.627526
2,36,0.260704,0.589351
3,36,0.325249,0.620497
4,36,0.305787,0.605817
5,36,0.258714,0.591712
6,36,0.298189,0.609704
7,36,0.282795,0.59319
8,36,0.255552,0.578724
9,36,0.31781,0.620649
10,36,0.302992,0.605017
1,37,-0.0184444,-0.0946283
2,37,0.053284,-0.0508221
3,37,0.0225865,-0.0739132
4,37,0.0525298,-0.0508277
5,37,0.0405024,-0.0706356
6,37,0.00522545,-0.0933618
7,37,0.0370272,-0.0697717
8,37,0.0160665,-0.0830468
9,37,0.0518602,-0.0720262
10,37,0.00692686,-0.0881009
1,38,0.181153,-0.159066
2,38,0.168427,-0.160557
3,38,0.189552,-0.157024
4,38,0.207181,-0.152068
5,38,0.165074,-0.16734
6,38,0.222757,-0.136439
7,38,0.185998,-0.167857
8,38,0.20698,-0.147012
9,38,0.160062,-0.171378
10,38,0.223349,-0.165156
1,39,-0.281343,-0.432052
2,39,-0.377065,-0.444107
3,39,-0.308752,-0.449444
4,39,-0.29669,-0.428031
5,39,-0.28495,-0.443443
6,39,-0.302361,-0.450614
7,39,-0.324879,-0.431204
8,39,-0.322693,-0.438528
9,39,-0.303651,-0.439492
10,39,-0.323436,-0.43502
1,40,-0.104652,0.410309
2,40,-0.125193,0.398872
3,40,-0.118987,0.399307
4,40,-0.132467,0.386098
5,40,-0.115867,0.398843
6,40,-0.105435,0.39855
7,40,-0.110244,0.404643
8,40,-0.140797,0.377225
9,40,-0.124358,0.395222
10,40,-0.129053,0.382732
1,41,-0.00349218,-0.511665
2,41,-0.0143744,-0.515979
3,41,-0.0571491,-0.512775
4,41,-0.0664373,-0.510169
5,41,-0.0537159,-0.530746
6,41,-0.0516337,-0.51134
7,41,-0.0313633,-0.496043
8,41,-0.0320937,-0.50135
9,41,-0.0142487,-0.500055
10,41,-0.0100537,-0.518501
1,42,0.0599351,-0.343246
2,42,0.0829635,-0.332912
3,42,0.0371491,-0.316871
4,42,0.0615048,-0.334606
