Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"S, \ textrm{L}/\ textrm{mg}",20.292577434027578,20.275722967685322,20.28031383883999,20.260437049304468,20.26920882483781,20.255643288966453,20.28406124889358,20.27344186239591,90.40039116619853,20.281463326522005,27.287326100767167,20.0
"K_{cl}, L/hr",2.821295055266945,2.819520570497124,2.819932236880868,2.818889227283734,2.8188750577614763,2.817867862206703,2.8192418100585455,2.81984400039404,2.821433696584566,2.8195064012196775,2.8196405918153675,2.8
"\log(V_{c, typ})",-0.36261763371555006,-0.3588121602603925,-0.35701137182998116,-0.3565824899726554,1.2657145282160345,-0.36456255968952495,-0.34640769990951475,-0.36234584579886897,-0.3652635164898413,-0.3654896192760275,-0.19733783687263223,-0.3856624808119846
\omega_{V_c},0.31853363139396895,0.31919642349193245,0.3288819480082035,0.32315899164569417,4.331937457310429,0.3188893224919554,0.3200470300653423,0.32228454472122436,0.31883795522486774,0.3177215684641363,0.7219488872817752,0.3
"K_1, L/hr",2.349106621588125,2.346048967147279,2.3470441892562524,2.3446738741705975,2.3451998926752395,2.343254991420043,2.3463829365405666,2.3464919636448327,2.348370419851632,2.3466396825706415,2.346321353886521,2.3
"R_0, 10^3/\mu \ textrm{L}",983.3489869362323,983.3319630957301,983.4181393371133,983.4306839041025,983.5078917050171,983.2707118825791,983.3180758784184,983.2220232781948,974.8309406345597,983.3954692189271,982.5074885870874,983.1
\gamma,0.4361134639706077,0.43640258311814656,0.43595359579602055,0.4366579775507969,0.4362671805701735,0.4364835419711003,0.4360906901653751,0.43667161829472806,6.894033173535576,0.436142624233471,1.0820816449205997,0.44
"MTT, \ textrm{hr}",85.03437668601161,85.05496438230264,85.01556691487865,85.06485425461352,85.03556746683863,85.04922346300073,85.03014042027577,85.07143463122752,1081.1996871982453,85.03520040156269,184.6591015818957,85.26
"\sigma_{c, PD}",41.90213078852631,41.90055924577062,41.94558485515763,41.928953798565004,42.00064984360691,41.90555465243801,41.95239511189238,41.92497871632952,262.85331256669264,41.881780296761065,64.019589987574,42.43
Log-posterior,-2671.569037693367,-2671.538498955286,-2671.8145600389785,-2671.48277002193,-2797.7543767459492,-2671.762265642239,-2671.9084443138177,-2671.4700833831102,-6816.833663917389,-2671.39157093572,.,.
