Cl_pop,4.76837e-06,9.49576e-06,8.56663e-06,3.46859e-07,-1.42555e-06,2.8631e-07,1.20565e-06,1.80373e-06,2.32849e-08,-3.21536e-07,-7.82409e-06,-1.03961e-06,4.10618e-07,9.21439e-05
V1_pop,9.49576e-06,0.00235011,2.40891e-05,6.44624e-07,-4.02889e-06,9.49546e-07,4.01207e-07,-4.80912e-07,1.79468e-06,-1.49884e-06,-1.81855e-05,-2.65109e-06,7.21442e-07,0.000215749
S_pop,8.56663e-06,2.40891e-05,4.7154e-05,-3.20417e-07,-5.76044e-06,2.56368e-06,-4.31559e-06,-6.71109e-06,9.9525e-06,-1.81308e-06,-1.57774e-05,-4.46686e-06,1.20353e-06,0.000124836
R0_pop,3.46859e-07,6.44624e-07,-3.20417e-07,1.25485e-06,-9.07422e-07,-5.05622e-07,9.69097e-07,6.31389e-07,-7.83372e-07,-1.68759e-07,-1.46775e-06,1.43353e-08,-4.63001e-08,4.65733e-05
gamma_pop,-1.42555e-06,-4.02889e-06,-5.76044e-06,-9.07422e-07,6.70267e-06,1.37645e-06,6.11825e-07,1.66508e-06,-1.62974e-06,7.42137e-07,2.61936e-06,5.93535e-07,-1.1876e-07,-6.21853e-05
MTT_pop,2.8631e-07,9.49546e-07,2.56368e-06,-5.05622e-07,1.37645e-06,1.83711e-06,-1.68462e-07,5.98836e-07,-1.01205e-07,3.43782e-07,-1.56972e-06,-5.11344e-07,9.80756e-08,-1.86127e-05
omega_Cl,1.20565e-06,4.01207e-07,-4.31559e-06,9.69097e-07,6.11825e-07,-1.68462e-07,9.89396e-06,8.94333e-06,-7.79406e-06,5.27244e-07,-8.26742e-06,-1.59249e-07,-4.25458e-07,0.000170625
omega_V1,1.80373e-06,-4.80912e-07,-6.71109e-06,6.31389e-07,1.66508e-06,5.98836e-07,8.94333e-06,0.0011956,-1.01101e-05,1.45774e-06,-1.17104e-05,3.26941e-08,-4.47578e-07,0.000155476
omega_S,2.32849e-08,1.79468e-06,9.9525e-06,-7.83372e-07,-1.62974e-06,-1.01205e-07,-7.79406e-06,-1.01101e-05,1.57257e-05,-1.63215e-06,7.47706e-06,-6.65792e-08,4.25481e-07,-0.000133046
omega_R0,-3.21536e-07,-1.49884e-06,-1.81308e-06,-1.68759e-07,7.42137e-07,3.43782e-07,5.27244e-07,1.45774e-06,-1.63215e-06,1.30106e-06,-2.53871e-07,9.12601e-08,-3.6595e-08,-4.13998e-05
omega_gamma,-7.82409e-06,-1.81855e-05,-1.57774e-05,-1.46775e-06,2.61936e-06,-1.56972e-06,-8.26742e-06,-1.17104e-05,7.47706e-06,-2.53871e-07,2.93712e-05,2.82398e-06,-3.81358e-07,-0.000348307
omega_MTT,-1.03961e-06,-2.65109e-06,-4.46686e-06,1.43353e-08,5.93535e-07,-5.11344e-07,-1.59249e-07,3.26941e-08,-6.65792e-08,9.12601e-08,2.82398e-06,1.05938e-06,-1.1349e-07,-3.79445e-05
bPK_central_drug_concentration,4.10618e-07,7.21442e-07,1.20353e-06,-4.63001e-08,-1.1876e-07,9.80756e-08,-4.25458e-07,-4.47578e-07,4.25481e-07,-3.6595e-08,-3.81358e-07,-1.1349e-07,1.87234e-06,-1.52777e-06
acirculating_R,9.21439e-05,0.000215749,0.000124836,4.65733e-05,-6.21853e-05,-1.86127e-05,0.000170625,0.000155476,-0.000133046,-4.13998e-05,-0.000348307,-3.79445e-05,-1.52777e-06,0.400434
