id,importanceSampling
1,-192.738826
2,-260.947387
3,-210.716563
4,-260.752676
5,-155.816978
6,-214.163545
7,-172.595722
8,-212.735163
9,-264.509775
10,-260.903615
11,-198.719200
12,-205.953244
13,-177.465752
14,-238.060864
15,-259.550296
16,-193.848732
17,-136.801027
18,-191.598351
19,-86.298781
20,-145.307483
21,-103.940721
22,-144.311434
23,-196.289143
24,-194.916901
25,-135.151232
26,-135.866978
27,-104.971698
28,-170.043198
29,-187.311509
30,-156.679173
31,-105.095306
32,-151.930635
33,-54.662026
34,-103.385931
35,-64.839284
36,-102.019363
37,-155.404349
38,-152.785050
39,-98.306432
40,-96.471906
41,-70.187429
42,-127.137543
43,-147.866484
44,-112.793533
45,-113.134319
