rep,id,eta_V,eta_Cl
1,28,-0.125671,0
2,28,-0.123124,0
3,28,-0.124865,0
4,28,-0.126392,0
5,28,-0.128235,0
6,28,-0.127258,0
7,28,-0.123209,0
8,28,-0.124587,0
9,28,-0.128372,0
10,28,-0.124241,0
1,29,0.198926,0
2,29,0.207646,0
3,29,0.203867,0
4,29,0.202336,0
5,29,0.201374,0
6,29,0.199854,0
7,29,0.206192,0
8,29,0.208872,0
9,29,0.208043,0
10,29,0.208859,0
1,30,-0.150622,0
2,30,-0.148992,0
3,30,-0.147654,0
4,30,-0.145332,0
5,30,-0.147848,0
6,30,-0.154344,0
7,30,-0.148253,0
8,30,-0.146797,0
9,30,-0.147788,0
10,30,-0.144691,0
1,31,-0.247538,0
2,31,-0.246611,0
3,31,-0.246224,0
4,31,-0.2447,0
5,31,-0.244568,0
6,31,-0.247837,0
7,31,-0.246239,0
8,31,-0.242777,0
9,31,-0.245886,0
10,31,-0.245778,0
1,32,-0.133135,0
2,32,-0.136924,0
3,32,-0.132436,0
4,32,-0.135591,0
5,32,-0.14031,0
6,32,-0.13929,0
7,32,-0.139407,0
8,32,-0.137742,0
9,32,-0.137326,0
10,32,-0.137943,0
1,33,0.314401,0
2,33,0.319997,0
3,33,0.312068,0
4,33,0.312719,0
5,33,0.311678,0
6,33,0.321579,0
7,33,0.308211,0
8,33,0.316571,0
9,33,0.312767,0
10,33,0.32099,0
1,34,0.273097,0
2,34,0.277289,0
3,34,0.274121,0
4,34,0.284714,0
5,34,0.284433,0
6,34,0.27831,0
7,34,0.27928,0
8,34,0.283345,0
9,34,0.277297,0
10,34,0.283982,0
1,35,-0.179788,0
2,35,-0.17577,0
3,35,-0.179913,0
4,35,-0.180623,0
5,35,-0.180818,0
6,35,-0.182736,0
7,35,-0.179106,0
8,35,-0.178719,0
9,35,-0.180623,0
10,35,-0.181911,0
1,36,0.24493,0
2,36,0.246003,0
3,36,0.244777,0
4,36,0.243239,0
5,36,0.239445,0
6,36,0.241476,0
7,36,0.240398,0
8,36,0.239352,0
9,36,0.238672,0
10,36,0.237951,0
1,37,-0.0357225,0
2,37,-0.0389287,0
3,37,-0.0379066,0
4,37,-0.0377684,0
5,37,-0.0400451,0
6,37,-0.0400013,0
7,37,-0.0417498,0
8,37,-0.0397621,0
9,37,-0.0438752,0
10,37,-0.0400915,0
1,38,-0.267597,0
2,38,-0.271706,0
3,38,-0.274216,0
4,38,-0.270501,0
5,38,-0.270637,0
6,38,-0.270114,0
7,38,-0.267252,0
8,38,-0.27113,0
9,38,-0.272284,0
10,38,-0.267975,0
1,39,-0.0890992,0
2,39,-0.0897784,0
3,39,-0.0898903,0
4,39,-0.0903218,0
5,39,-0.0940676,0
6,39,-0.0907376,0
7,39,-0.0854283,0
8,39,-0.0902018,0
9,39,-0.0872619,0
10,39,-0.0890944,0
1,40,-0.128111,0
2,40,-0.131267,0
3,40,-0.128079,0
4,40,-0.130018,0
5,40,-0.131023,0
6,40,-0.12678,0
7,40,-0.128179,0
8,40,-0.131198,0
9,40,-0.132442,0
10,40,-0.133435,0
1,41,0.366488,0
2,41,0.366641,0
3,41,0.370859,0
4,41,0.375686,0
5,41,0.364538,0
6,41,0.363396,0
7,41,0.36991,0
8,41,0.366942,0
9,41,0.36393,0
10,41,0.366011,0
1,42,-0.132858,0
2,42,-0.127653,0
3,42,-0.129141,0
4,42,-0.12969,0
5,42,-0.126166,0
6,42,-0.125992,0
7,42,-0.129667,0
8,42,-0.127897,0
9,42,-0.130798,0
10,42,-0.131565,0
1,43,0.200615,0
2,43,0.206759,0
3,43,0.205749,0
4,43,0.202928,0
5,43,0.207824,0
6,43,0.209049,0
7,43,0.202467,0
8,43,0.209046,0
9,43,0.201803,0
10,43,0.206283,0
1,44,-0.153617,0
2,44,-0.153137,0
3,44,-0.151085,0
4,44,-0.148856,0
5,44,-0.149047,0
6,44,-0.150699,0
7,44,-0.15199,0
8,44,-0.154253,0
9,44,-0.152572,0
10,44,-0.150465,0
1,45,-0.349539,0
2,45,-0.354624,0
3,45,-0.354134,0
4,45,-0.352378,0
5,45,-0.353152,0
6,45,-0.352787,0
7,45,-0.352805,0
8,45,-0.352906,0
9,45,-0.353483,0
10,45,-0.356154,0
