rep,id,V,Cl
1,1,10.8222,2.48394
2,1,10.9969,2.48394
3,1,10.3085,2.48394
4,1,10.1034,2.48394
5,1,10.5628,2.48394
6,1,10.1418,2.48394
7,1,10.0585,2.48394
8,1,10.8131,2.48394
9,1,10.407,2.48394
10,1,9.89437,2.48394
1,2,11.4849,2.48394
2,2,9.65405,2.48394
3,2,10.3281,2.48394
4,2,11.1233,2.48394
5,2,10.7978,2.48394
6,2,10.6801,2.48394
7,2,10.8392,2.48394
8,2,10.1867,2.48394
9,2,12.4243,2.48394
10,2,11.527,2.48394
1,3,2.5877,2.48394
2,3,2.5468,2.48394
3,3,2.61482,2.48394
4,3,2.61194,2.48394
5,3,2.56216,2.48394
6,3,2.52977,2.48394
7,3,2.56893,2.48394
8,3,2.54993,2.48394
9,3,2.53239,2.48394
10,3,2.5571,2.48394
1,4,4.04235,2.48394
2,4,3.64303,2.48394
3,4,3.83291,2.48394
4,4,3.64605,2.48394
5,4,3.90037,2.48394
6,4,3.77139,2.48394
7,4,4.0084,2.48394
8,4,3.87096,2.48394
9,4,3.8741,2.48394
10,4,4.11896,2.48394
1,5,7.18843,2.48394
2,5,7.64849,2.48394
3,5,7.66719,2.48394
4,5,7.35994,2.48394
5,5,7.23472,2.48394
6,5,7.08205,2.48394
7,5,7.23858,2.48394
8,5,6.94456,2.48394
9,5,7.40505,2.48394
10,5,7.3669,2.48394
1,6,2.3642,2.48394
2,6,2.33017,2.48394
3,6,2.33369,2.48394
4,6,2.39493,2.48394
5,6,2.31742,2.48394
6,6,2.38655,2.48394
7,6,2.36538,2.48394
8,6,2.35398,2.48394
9,6,2.34343,2.48394
10,6,2.35764,2.48394
1,7,1.72326,2.48394
2,7,1.72012,2.48394
3,7,1.69208,2.48394
4,7,1.71725,2.48394
5,7,1.74291,2.48394
6,7,1.70925,2.48394
7,7,1.74221,2.48394
8,7,1.74949,2.48394
9,7,1.74221,2.48394
10,7,1.73313,2.48394
1,8,2.45131,2.48394
2,8,2.38845,2.48394
3,8,2.51958,2.48394
4,8,2.48816,2.48394
5,8,2.62351,2.48394
6,8,2.48816,2.48394
7,8,2.47045,2.48394
8,8,2.44086,2.48394
9,8,2.35825,2.48394
10,8,2.44144,2.48394
1,9,4.39349,2.48394
2,9,4.28742,2.48394
3,9,4.58569,2.48394
4,9,4.29771,2.48394
5,9,4.34931,2.48394
6,9,4.48051,2.48394
7,9,4.83846,2.48394
8,9,4.54277,2.48394
9,9,4.76672,2.48394
10,9,4.65125,2.48394
1,10,6.04256,2.48394
2,10,6.39243,2.48394
3,10,6.82665,2.48394
4,10,6.42459,2.48394
5,10,6.65324,2.48394
6,10,6.43419,2.48394
7,10,5.83514,2.48394
8,10,6.56988,2.48394
9,10,6.72038,2.48394
10,10,6.16921,2.48394
1,11,5.29161,2.48394
2,11,5.57857,2.48394
3,11,5.60295,2.48394
4,11,5.59717,2.48394
5,11,5.37708,2.48394
6,11,5.52472,2.48394
7,11,5.3646,2.48394
8,11,5.3435,2.48394
9,11,5.67279,2.48394
10,11,5.60352,2.48394
1,12,2.25786,2.48394
2,12,2.30356,2.48394
3,12,2.26781,2.48394
4,12,2.26431,2.48394
5,12,2.17897,2.48394
6,12,2.31035,2.48394
7,12,2.23592,2.48394
8,12,2.29131,2.48394
9,12,2.26116,2.48394
10,12,2.24603,2.48394
1,13,6.63327,2.48394
2,13,6.54403,2.48394
3,13,6.86559,2.48394
4,13,6.65448,2.48394
