id,importanceSampling
1,-316.149868
2,-384.084100
3,-331.669799
4,-355.938482
5,-362.582252
6,-383.868164
7,-355.467110
8,-299.659841
9,-345.418572
10,-320.801396
11,-329.718102
12,-218.424885
13,-335.151232
14,-246.332516
15,-271.092456
16,-310.606617
17,-262.005444
18,-296.172352
19,-299.542875
20,-318.994015
21,-286.844399
22,-230.315638
23,-270.644840
24,-254.601052
25,-254.628708
26,-137.108020
27,-269.707228
28,-184.148891
29,-204.491007
30,-338.550704
31,-221.278614
32,-253.460225
33,-259.449629
34,-274.484581
35,-245.772676
36,-191.437715
37,-234.466080
38,-201.303068
39,-213.543622
40,-72.065347
41,-227.990823
42,-152.884945
43,-142.225535
44,-297.905162
45,-210.405973
