rep,id,eta_V,eta_Cl
2,25,0,-0.650547
3,25,0,-0.639842
4,25,0,-0.633847
5,25,0,-0.65356
6,25,0,-0.659748
7,25,0,-0.64046
8,25,0,-0.647558
9,25,0,-0.641485
10,25,0,-0.633468
1,26,0,0.245215
2,26,0,0.264176
3,26,0,0.250605
4,26,0,0.253033
5,26,0,0.257761
6,26,0,0.254445
7,26,0,0.249741
8,26,0,0.245226
9,26,0,0.247441
10,26,0,0.239679
1,27,0,-0.410872
2,27,0,-0.408681
3,27,0,-0.391782
4,27,0,-0.407282
5,27,0,-0.411202
6,27,0,-0.397824
7,27,0,-0.395383
8,27,0,-0.397006
9,27,0,-0.427215
10,27,0,-0.402581
1,28,0,0.119826
2,28,0,0.133519
3,28,0,0.12192
4,28,0,0.121132
5,28,0,0.118061
6,28,0,0.119748
7,28,0,0.127755
8,28,0,0.129127
9,28,0,0.11023
10,28,0,0.119814
1,29,0,0.319939
2,29,0,0.319117
3,29,0,0.326247
4,29,0,0.322301
5,29,0,0.318552
6,29,0,0.330075
7,29,0,0.331156
8,29,0,0.332097
9,29,0,0.315101
10,29,0,0.319429
1,30,0,-0.123287
2,30,0,-0.130191
3,30,0,-0.117314
4,30,0,-0.114942
5,30,0,-0.120221
6,30,0,-0.13774
7,30,0,-0.14508
8,30,0,-0.103902
9,30,0,-0.123529
10,30,0,-0.112496
1,31,0,0.519276
2,31,0,0.525546
3,31,0,0.511481
4,31,0,0.515765
5,31,0,0.516057
6,31,0,0.519905
7,31,0,0.522751
8,31,0,0.52053
9,31,0,0.521357
10,31,0,0.52272
1,32,0,0.0595396
2,32,0,0.0771873
3,32,0,0.086582
4,32,0,0.0820655
5,32,0,0.0702113
6,32,0,0.0693094
7,32,0,0.0687945
8,32,0,0.0684711
9,32,0,0.0761249
10,32,0,0.0859531
1,33,0,-0.11265
2,33,0,-0.121651
3,33,0,-0.129494
4,33,0,-0.124803
5,33,0,-0.121036
6,33,0,-0.11326
7,33,0,-0.139513
8,33,0,-0.11966
9,33,0,-0.121839
10,33,0,-0.110946
1,34,0,-0.274067
2,34,0,-0.26287
3,34,0,-0.246492
4,34,0,-0.238928
5,34,0,-0.264006
6,34,0,-0.244891
7,34,0,-0.248163
8,34,0,-0.236512
9,34,0,-0.255621
10,34,0,-0.262734
1,35,0,0.592295
2,35,0,0.600678
3,35,0,0.591808
4,35,0,0.579472
5,35,0,0.58867
