id,importanceSampling
1,-397.140328
2,-386.546812
3,-375.175926
4,-438.562151
5,-385.243066
6,-387.512099
7,-384.331585
8,-377.948841
9,-392.510148
10,-384.328133
11,-396.265123
12,-402.094166
13,-387.744838
14,-422.768418
15,-388.817984
16,-319.506765
17,-316.100874
18,-349.712320
19,-334.711644
20,-313.556495
21,-321.009935
22,-315.919292
23,-328.902065
24,-322.561049
25,-330.422315
26,-341.067909
27,-319.077661
28,-334.433740
29,-335.682082
30,-312.242137
31,-290.167586
32,-301.320040
33,-278.584985
34,-282.122830
35,-294.559037
36,-271.152457
37,-280.092875
38,-277.768074
39,-274.746627
40,-306.448759
41,-285.276772
42,-280.842759
43,-268.748633
44,-278.758355
45,-280.796675
