id,importanceSampling
1,-365.423885
2,-324.257507
3,-320.998549
4,-374.533535
5,-363.416668
6,-370.854604
7,-300.524799
8,-346.759052
9,-345.722804
10,-250.502071
11,-363.498847
12,-354.186938
13,-374.093901
14,-306.590330
15,-355.682399
16,-248.343113
17,-252.207525
18,-301.017442
19,-305.027737
20,-296.149574
21,-238.067968
22,-271.317871
23,-277.860471
24,-153.818860
25,-301.953457
26,-279.621789
27,-297.851148
28,-230.701287
29,-280.085580
30,-256.451281
31,-217.100982
32,-256.819534
33,-240.301626
34,-250.281148
35,-204.198276
36,-241.512360
37,-250.699162
38,-121.117565
39,-262.985399
40,-236.217042
41,-257.239373
42,-202.855305
43,-238.889490
44,-216.310063
45,-220.262316
