id,importanceSampling
1,-370.181816
2,-401.949667
3,-414.822676
4,-401.548433
5,-394.414346
6,-407.334534
7,-371.092336
8,-365.494159
9,-389.101832
10,-392.264510
11,-370.982448
12,-402.754190
13,-406.851987
14,-381.509030
15,-395.139619
16,-321.111096
17,-324.326524
18,-333.453189
19,-326.911203
20,-330.638917
21,-325.751771
22,-305.482111
23,-324.809553
24,-318.608385
25,-325.960954
26,-319.391505
27,-321.896976
28,-309.403631
29,-323.521873
30,-343.226311
31,-295.320729
32,-273.488915
33,-266.907127
34,-277.541477
35,-303.992112
36,-275.936988
37,-285.157705
38,-295.800335
39,-288.355182
40,-266.803818
41,-272.428951
42,-282.217192
43,-278.133576
44,-278.257762
45,-250.073888
