rep,id,eta_V,eta_Cl
1,1,0,-0.0201425
2,1,0,-0.0674109
3,1,0,-0.0279681
4,1,0,-0.0421017
5,1,0,-0.0306574
6,1,0,-0.018602
7,1,0,-0.0365811
8,1,0,-0.0363749
9,1,0,-0.00740973
10,1,0,-0.0316067
1,2,0,-0.0260884
2,2,0,-0.0320444
3,2,0,-0.0386727
4,2,0,-0.0221521
5,2,0,-0.0705226
6,2,0,-0.0350191
7,2,0,-0.0155852
8,2,0,-0.0359852
9,2,0,-0.0496534
10,2,0,-0.059157
1,3,0,-0.0849479
2,3,0,-0.129453
3,3,0,-0.114243
4,3,0,-0.127916
5,3,0,-0.115557
6,3,0,-0.106717
7,3,0,-0.124114
8,3,0,-0.131288
9,3,0,-0.0961772
10,3,0,-0.10437
1,4,0,0.0543029
2,4,0,0.0465091
3,4,0,0.0532375
4,4,0,0.0590504
5,4,0,0.0784672
6,4,0,0.078123
7,4,0,0.0726667
8,4,0,0.0489574
9,4,0,0.0428165
10,4,0,0.0472838
1,5,0,0.175856
2,5,0,0.159084
3,5,0,0.157901
4,5,0,0.142189
5,5,0,0.170867
6,5,0,0.164057
7,5,0,0.16276
8,5,0,0.168844
9,5,0,0.147456
10,5,0,0.175369
1,6,0,-0.0516955
2,6,0,-0.00947429
3,6,0,0.0132481
4,6,0,-0.00979307
5,6,0,0.00933102
6,6,0,-0.00500929
7,6,0,-0.011911
8,6,0,0.0142476
9,6,0,-0.000321382
10,6,0,-0.00141295
1,7,0,-0.0638759
2,7,0,-0.0793863
3,7,0,-0.0886142
4,7,0,-0.084507
5,7,0,-0.0750578
6,7,0,-0.07365
7,7,0,-0.0610046
8,7,0,-0.0822549
9,7,0,-0.0490409
10,7,0,-0.0630052
1,8,0,-0.131664
2,8,0,-0.110339
3,8,0,-0.126204
4,8,0,-0.131218
5,8,0,-0.134939
6,8,0,-0.128856
7,8,0,-0.125429
8,8,0,-0.115162
9,8,0,-0.118199
10,8,0,-0.142234
1,9,0,0.252446
2,9,0,0.225322
3,9,0,0.250694
4,9,0,0.248579
5,9,0,0.232088
