id,importanceSampling
1,-362.920514
2,-357.044057
3,-302.196586
4,-370.616335
5,-327.992790
6,-368.380318
7,-346.796181
8,-273.024984
9,-279.250560
10,-362.148372
11,-344.025571
12,-281.934159
13,-312.343184
14,-356.078292
15,-363.028794
16,-289.632584
17,-226.933083
18,-290.964484
19,-243.483633
20,-296.471805
21,-275.595016
22,-205.856626
23,-228.881853
24,-295.847318
25,-261.832762
26,-232.350365
27,-246.440517
28,-283.971550
29,-293.440892
30,-265.431999
31,-197.024212
32,-249.665600
33,-209.542391
34,-250.459687
35,-237.682747
36,-166.081961
37,-161.309030
38,-259.438845
39,-216.285129
40,-175.878518
41,-223.176177
42,-240.374378
43,-252.706279
44,-231.589685
45,-250.673158
