id,importanceSampling
1,-362.866098
2,-342.153383
3,-392.408269
4,-389.570241
5,-432.403964
6,-329.505175
7,-432.814857
8,-381.007650
9,-419.766723
10,-421.055894
11,-427.109716
12,-430.035465
13,-392.640704
14,-411.234613
15,-369.105015
16,-257.674339
17,-307.813576
18,-320.988935
19,-341.298052
20,-227.517476
21,-362.806363
22,-320.282413
23,-343.943676
24,-358.333894
25,-348.270944
26,-345.262650
27,-311.656876
28,-332.512822
29,-323.922383
30,-306.188192
31,-281.636504
32,-259.779078
33,-321.148321
34,-237.389512
35,-331.142367
36,-251.242856
37,-312.532162
38,-285.929022
39,-341.328955
40,-305.650194
41,-263.333704
42,-297.737081
43,-282.975975
44,-270.593603
45,-332.454690
