Parameter,Optimised,True
"K_{cl}, L/hr",2.800444591850771,2.8
"\log(V_{c, typ})",-0.546480956056485,-0.3856624808119846
\omega_{V_c},0.24561328579316394,0.3
"K_1, L/hr",2.2996780416347495,2.3
"V_1, L",4.898524434413327,4.9
"\sigma_{m, PK}",0.009045446732528412,0.0091
