Parameter,Optimised,True
"K_{cl}, L/hr",2.801865087696896,2.8
"V_c, L - Log mean",-0.2606141949757132,-0.3856624808119846
"V_c, L - standard deviation",0.3135250280354169,0.3
"K_1, L/hr",2.3193789495683297,2.3
"V_1, L",4.9650850217969325,4.9
"\sigma_{m, PK}",0.0877003522350521,0.091
