Parameter,Optimised,True
"K_{cl}, L/hr",2.7999659172938256,2.8
"\log(V_{c, typ})",-0.6523596568629131,-0.3856624808119846
\omega_{V_c},0.6529968164207752,0.3
"K_1, L/hr",2.2999142811787525,2.3
"V_1, L",4.899831136963637,4.9
"\sigma_{m, PK}",3.739778836522335e-05,0.0
