,Parameter,Optimised,True
0,"V_c, L",0.5661,0.68
1,"K_cl, L/hr",2.6256,2.8
2,"V_1, L",3.9645,4.9
3,"K_1, L/hr",2.0021,2.3
4,sigma_rel_PK,0.0438,0.091
