Parameter,Optimised,True
"K_{cl}, L/hr",2.800071888480861,2.8
"\log(V_{c, typ})",-0.6606164066987528,-0.3856624808119846
\omega_{V_c},0.33199203960228346,0.3
"K_1, L/hr",2.2999622563116406,2.3
"V_1, L",4.899915861741365,4.9
"\sigma_{m, PK}",0.0009238697216090711,0.00091
