Parameter,Optimised,True
"K_{cl}, L/hr",2.8000281160185825,2.8
"\log(V_{c, typ})",-0.3770315363067491,-0.3856624808119846
\omega_{V_c},0.19276683966766445,0.3
"K_1, L/hr",2.300097667394583,2.3
"V_1, L",4.900193115530083,4.9
"\sigma_{m, PK}",9.364195282711801e-05,9.1e-05
