rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
4,8,2.81392,0.993693,2.34545,4.93618,20.2871,982.117,0.437656,85.0808
5,8,2.82003,1.03018,2.36729,5.01074,19.8866,983.441,0.436034,85.1837
6,8,2.81603,1.02759,2.34336,4.94736,20.6501,983.651,0.434201,84.9822
7,8,2.82182,0.977537,2.36999,4.91224,19.7719,981.405,0.435734,84.6403
8,8,2.84055,1.08125,2.32691,5.04176,19.7589,986.057,0.432213,85.2558
9,8,2.80717,1.03332,2.33856,4.9759,19.7142,987.722,0.434623,85.2867
10,8,2.81542,0.996401,2.33586,4.92859,20.0768,983.899,0.435256,84.9671
1,9,2.81902,0.894808,2.3617,4.8194,20.1996,982.072,0.429166,84.8671
2,9,2.82181,0.863894,2.35183,4.98372,20.5715,982.547,0.436368,85.1521
3,9,2.82734,0.879403,2.33762,4.83233,20.0228,980.591,0.436199,85.1472
4,9,2.81747,0.913394,2.33868,4.88981,20.3258,986.166,0.43766,85.4541
5,9,2.82901,0.824896,2.34095,4.85983,20.0581,981.86,0.435253,85.2528
6,9,2.82334,0.903918,2.35387,4.91271,20.0966,980.79,0.436269,85.0106
7,9,2.82773,0.872796,2.31148,4.98577,20.2609,981.798,0.437403,85.203
8,9,2.82067,0.90344,2.3755,4.96918,19.8202,982.064,0.437357,84.8766
9,9,2.82458,0.956746,2.33037,4.94467,19.9741,988.249,0.434937,85.0608
10,9,2.82192,0.915948,2.33783,4.92773,20.1082,981.235,0.436258,85.0986
1,10,2.81653,0.933464,2.33037,4.95259,20.0595,982.624,0.431633,85.1639
2,10,2.81522,0.945146,2.33492,4.84361,20.1388,986.036,0.434321,84.9866
3,10,2.81829,0.913937,2.30396,4.85174,19.9872,985.424,0.437293,84.8296
4,10,2.82335,0.938251,2.35261,4.91219,19.6534,987.787,0.438424,84.9399
5,10,2.82979,0.901629,2.36558,4.80834,19.9872,982.817,0.435349,84.4873
6,10,2.82236,0.965967,2.35061,4.97198,19.9818,982.134,0.434958,85.1243
7,10,2.8224,0.93514,2.37431,4.88418,20.0706,985.852,0.434471,85.2959
8,10,2.81609,0.878038,2.36096,4.94737,20.0151,986.411,0.438015,85.0466
9,10,2.82296,0.920925,2.32866,4.93055,19.834,986.207,0.43152,85.1792
10,10,2.80997,0.928367,2.35241,4.87943,19.7064,984.967,0.434434,84.9978
1,11,2.81987,1.2196,2.345,4.93537,20.1718,987.864,0.438526,85.0586
2,11,2.79598,1.3092,2.36157,4.94857,20.5052,981.322,0.43391,85.3211
