rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
5,8,2.81849,1.02019,2.35639,4.99062,19.9719,984.219,0.435295,85.1211
6,8,2.81554,1.02876,2.34166,4.95155,20.63,983.616,0.433564,84.9737
7,8,2.81767,1.00299,2.35384,4.91654,19.7599,984.661,0.434789,84.6954
8,8,2.82971,1.0236,2.33175,4.97725,19.8309,984.507,0.43226,85.1171
9,8,2.8137,1.0356,2.33496,4.98812,19.9357,986.492,0.432937,84.8003
10,8,2.81369,0.995612,2.33553,4.92854,20.0908,983.818,0.434637,84.9479
1,9,2.81975,0.917392,2.34105,4.81596,20.1611,982.888,0.428499,84.921
2,9,2.82067,0.864045,2.34714,4.97859,20.5728,982.39,0.434525,84.878
3,9,2.82548,0.883201,2.33353,4.85141,20.0256,980.249,0.43563,85.1931
4,9,2.81768,0.925815,2.33869,4.93537,20.2107,986.651,0.437459,85.3287
5,9,2.82725,0.825052,2.34021,4.8764,20.0665,981.626,0.434622,85.1679
6,9,2.82193,0.903986,2.35023,4.91819,20.1027,980.471,0.435746,84.9845
7,9,2.82825,0.876772,2.30764,4.96582,20.3851,982.255,0.437449,84.9495
8,9,2.81923,0.903639,2.36702,4.96424,19.8347,982.109,0.436965,84.8856
9,9,2.82126,0.879492,2.34248,4.97358,19.9689,986.315,0.434511,85.0147
10,9,2.82756,0.888687,2.33747,4.93315,20.1032,981.038,0.434156,85.0273
1,10,2.81853,0.91564,2.34695,4.94913,19.9305,982.416,0.431782,84.9713
2,10,2.82406,0.944931,2.32941,4.83012,20.072,986.079,0.430319,85.0985
3,10,2.81308,0.910826,2.30842,4.94722,19.8903,985.3,0.43773,84.9198
4,10,2.81784,0.95898,2.34925,4.90213,19.6061,983.557,0.437371,84.9647
5,10,2.82495,0.90385,2.36861,4.90802,19.8773,981.611,0.434307,84.7127
6,10,2.82098,0.992546,2.34749,4.88359,20.0089,981.922,0.434296,85.0836
7,10,2.82119,0.943849,2.34501,4.94343,20.3621,986.053,0.433209,85.1121
8,10,2.80458,0.8897,2.34464,4.9501,19.8586,987.88,0.43519,85.1418
9,10,2.82215,0.90987,2.33077,4.89416,19.9225,985.69,0.432368,84.8216
10,10,2.81143,0.937001,2.34401,4.8963,20.0295,986.941,0.435255,84.9603
1,11,2.81834,1.33032,2.32795,4.96223,20.1367,987.435,0.438173,84.8659
2,11,2.80229,1.32267,2.36281,4.96091,20.2778,980.628,0.434557,85.2689
3,11,2.81061,1.38788,2.35503,4.96044,20.0353,981.753,0.435512,85.0437
4,11,2.82565,1.38607,2.32405,4.94171,20.4047,981.701,0.441105,84.8919
5,11,2.8244,1.33657,2.36912,5.0236,20.1381,981.55,0.431221,84.996
6,11,2.80844,1.32867,2.32789,4.98475,19.9903,980.827,0.435651,84.9836
7,11,2.82531,1.31926,2.35331,4.98166,20.1661,981.051,0.434099,84.8474
8,11,2.82445,1.29395,2.34055,5.03586,20.2556,981,0.433131,85.1622
9,11,2.80769,1.31151,2.3683,4.9036,19.8906,985.171,0.432369,84.7982
10,11,2.83247,1.3577,2.33395,4.99816,20.341,985.684,0.432979,85.2716
1,12,2.81836,0.553763,2.33504,4.96681,20.0135,987.004,0.438199,84.9475
2,12,2.7979,0.562264,2.35511,4.96086,19.7038,986.222,0.436668,85.0244
3,12,2.81383,0.547401,2.31854,4.92608,20.207,986.563,0.436654,85.0701
4,12,2.81597,0.573285,2.34153,5.01783,20.3408,982.076,0.435881,85.0013
5,12,2.82403,0.556291,2.33595,4.899,20.1825,983.961,0.443517,84.8594
6,12,2.82827,0.598469,2.36247,4.91264,20.2654,987.527,0.437759,84.7723
7,12,2.82001,0.595513,2.33154,4.95613,20.1933,982.286,0.435518,85.1735
8,12,2.82621,0.574625,2.34495,4.90275,20.3074,983.24,0.439301,85.0456
9,12,2.81992,0.558213,2.37817,4.96183,19.9839,985.881,0.437837,84.8541
10,12,2.80885,0.59291,2.34137,4.92705,20.1276,989.323,0.433882,85.0484
1,13,2.81339,0.583803,2.34243,4.99866,20.1118,981.676,0.436933,85.0815
2,13,2.8053,0.576703,2.33578,4.93701,20.4885,984.47,0.435422,85.0636
3,13,2.83034,0.585185,2.35594,4.99918,20.0295,984.882,0.435125,85.1242
4,13,2.81669,0.597529,2.32829,4.95761,20.2944,984.775,0.433404,85.0179
5,13,2.82956,0.574458,2.3537,4.92074,20.0655,986.08,0.437163,85.058
