rep,id,eta_V,eta_Cl
10,24,0,-0.229001
1,25,0,-0.380445
2,25,0,-0.385131
3,25,0,-0.328737
4,25,0,-0.361241
5,25,0,-0.374055
6,25,0,-0.38995
7,25,0,-0.388333
8,25,0,-0.376152
9,25,0,-0.361966
10,25,0,-0.395314
1,26,0,0.428942
2,26,0,0.451146
3,26,0,0.441334
4,26,0,0.443982
5,26,0,0.445376
6,26,0,0.440369
7,26,0,0.442946
8,26,0,0.444828
9,26,0,0.454296
10,26,0,0.432106
1,27,0,-0.542131
2,27,0,-0.533505
3,27,0,-0.561914
4,27,0,-0.546817
5,27,0,-0.481819
6,27,0,-0.499776
7,27,0,-0.534188
8,27,0,-0.501767
9,27,0,-0.535141
10,27,0,-0.507472
1,28,0,-0.347731
2,28,0,-0.34712
3,28,0,-0.378984
4,28,0,-0.369401
5,28,0,-0.376619
6,28,0,-0.335159
7,28,0,-0.356566
8,28,0,-0.39244
9,28,0,-0.372639
10,28,0,-0.387506
1,29,0,0.0669772
2,29,0,0.0728768
3,29,0,0.0751413
4,29,0,0.0486917
5,29,0,0.062903
6,29,0,0.0493281
7,29,0,0.0508936
8,29,0,0.086357
9,29,0,0.0909745
10,29,0,0.064837
1,30,0,0.302937
2,30,0,0.27276
3,30,0,0.295091
4,30,0,0.29163
5,30,0,0.292852
6,30,0,0.286659
7,30,0,0.293099
8,30,0,0.306507
9,30,0,0.285328
10,30,0,0.313166
1,31,0,0.262018
2,31,0,0.257779
3,31,0,0.250099
4,31,0,0.273954
5,31,0,0.270629
6,31,0,0.251751
7,31,0,0.266013
8,31,0,0.276757
9,31,0,0.242342
10,31,0,0.264256
1,32,0,0.0113962
2,32,0,0.0228664
3,32,0,0.0397636
4,32,0,0.043437
5,32,0,0.000533792
6,32,0,0.0149459
7,32,0,0.0295355
8,32,0,0.00675001
9,32,0,0.0200756
10,32,0,0.0154502
1,33,0,-0.592713
2,33,0,-0.534734
3,33,0,-0.548853
4,33,0,-0.530429
5,33,0,-0.579969
6,33,0,-0.550472
7,33,0,-0.597251
8,33,0,-0.5509
9,33,0,-0.574205
10,33,0,-0.524154
1,34,0,0.344913
2,34,0,0.375608
3,34,0,0.376359
4,34,0,0.401243
5,34,0,0.395746
6,34,0,0.382296
7,34,0,0.395312
8,34,0,0.394396
9,34,0,0.377314
10,34,0,0.383777
1,35,0,0.679653
2,35,0,0.683721
3,35,0,0.67908
4,35,0,0.672082
5,35,0,0.674447
6,35,0,0.68369
7,35,0,0.68273
8,35,0,0.677979
9,35,0,0.679701
10,35,0,0.68097
1,36,0,0.358881
2,36,0,0.371279
3,36,0,0.375402
4,36,0,0.388151
5,36,0,0.373514
6,36,0,0.354046
7,36,0,0.369564
8,36,0,0.361957
9,36,0,0.362528
10,36,0,0.370614
1,37,0,-0.100889
2,37,0,-0.108262
3,37,0,-0.111189
4,37,0,-0.0908783
5,37,0,-0.110391
6,37,0,-0.130838
7,37,0,-0.0998454
8,37,0,-0.116917
9,37,0,-0.127971
10,37,0,-0.118779
1,38,0,-0.236658
2,38,0,-0.23121
3,38,0,-0.232731
4,38,0,-0.217989
5,38,0,-0.232148
6,38,0,-0.249452
7,38,0,-0.22031
8,38,0,-0.241867
9,38,0,-0.188264
10,38,0,-0.218781
1,39,0,-0.372227
2,39,0,-0.385922
3,39,0,-0.376219
4,39,0,-0.361612
5,39,0,-0.353156
6,39,0,-0.373462
7,39,0,-0.34902
8,39,0,-0.381089
9,39,0,-0.351305
10,39,0,-0.358407
1,40,0,0.442803
2,40,0,0.430668
3,40,0,0.448271
4,40,0,0.437143
5,40,0,0.436583
6,40,0,0.428032
7,40,0,0.4411
8,40,0,0.430844
9,40,0,0.419789
10,40,0,0.427397
1,41,0,-0.520468
2,41,0,-0.517714
3,41,0,-0.493611
4,41,0,-0.469867
5,41,0,-0.525596
6,41,0,-0.570861
7,41,0,-0.498742
8,41,0,-0.529324
9,41,0,-0.528858
10,41,0,-0.538848
1,42,0,-0.372523
2,42,0,-0.335839
3,42,0,-0.359178
4,42,0,-0.36043
5,42,0,-0.376709
6,42,0,-0.357051
7,42,0,-0.335651
8,42,0,-0.353534
9,42,0,-0.387479
10,42,0,-0.3256
1,43,0,0.0582671
2,43,0,0.0443819
3,43,0,0.049101
4,43,0,0.0425463
5,43,0,0.0432959
6,43,0,0.0736316
7,43,0,0.0541467
8,43,0,0.0731652
9,43,0,0.049732
10,43,0,0.0621389
1,44,0,0.289036
2,44,0,0.294002
3,44,0,0.30472
4,44,0,0.303278
5,44,0,0.310557
6,44,0,0.295055
7,44,0,0.296658
8,44,0,0.297856
9,44,0,0.29385
10,44,0,0.304691
1,45,0,0.266728
2,45,0,0.243618
3,45,0,0.241658
4,45,0,0.262105
5,45,0,0.261426
6,45,0,0.257846
7,45,0,0.249111
8,45,0,0.262964
9,45,0,0.254756
10,45,0,0.241447
