id,importanceSampling
1,-386.661625
2,-417.698929
3,-307.707146
4,-374.942680
5,-487.214860
6,-364.558591
7,-389.980689
8,-388.474251
9,-516.895051
10,-425.059641
11,-418.807136
12,-396.730012
13,-379.526542
14,-333.588107
15,-487.103688
16,-373.629092
17,-267.453036
18,-308.657460
19,-432.114994
20,-295.207628
21,-318.883510
22,-312.978070
23,-446.299522
24,-371.688693
25,-340.182302
26,-327.642864
27,-302.127505
28,-279.605075
29,-427.081034
30,-348.724662
31,-232.056330
32,-276.748327
33,-383.319876
34,-263.577951
35,-291.962171
36,-285.785387
37,-404.758204
38,-309.719488
39,-301.894249
40,-274.828397
41,-268.053511
42,-212.763649
43,-368.491936
44,-301.045827
45,-283.076565
