id,importanceSampling
1,-361.728633
2,-277.754774
3,-240.935945
4,-277.421084
5,-357.011403
6,-352.885083
7,-356.623592
8,-298.205368
9,-347.239977
10,-277.268089
11,-349.738945
12,-348.366347
13,-358.839554
14,-314.545290
15,-354.797776
16,-208.264942
17,-184.831845
18,-205.589277
19,-290.617793
20,-282.386821
21,-288.608443
22,-231.854912
23,-278.619016
24,-224.320952
25,-276.065260
26,-267.187715
27,-290.897691
28,-238.459219
29,-288.298685
30,-265.405403
31,-143.713259
32,-184.301262
33,-247.568053
34,-245.304844
35,-252.603908
36,-177.577360
37,-229.304629
38,-181.956872
39,-245.182726
40,-229.140950
41,-250.500342
42,-197.778892
43,-238.099699
44,-221.619972
45,-186.727190
