id,importanceSampling
1,-342.492112
2,-418.590165
3,-370.807620
4,-383.970419
5,-402.275301
6,-403.551709
7,-383.141232
8,-346.774994
9,-398.430489
10,-359.029225
11,-377.932020
12,-464.080707
13,-358.727613
14,-346.392788
15,-410.371948
16,-327.503970
17,-301.105959
18,-331.669200
19,-340.330827
20,-353.183510
21,-315.307622
22,-304.060722
23,-311.895396
24,-324.659091
25,-306.766610
26,-398.342888
27,-304.132724
28,-270.529389
29,-301.504274
30,-366.620870
31,-249.021351
32,-289.145092
33,-316.083072
34,-288.726960
35,-277.180249
36,-254.685359
37,-279.845079
38,-263.796094
39,-247.045647
40,-384.205006
41,-262.654301
42,-244.422627
43,-285.474738
44,-328.990445
45,-245.518966
