Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"K_{cl}, L/hr",2.822044338625472,2.817875535448262,2.8192069902760184,2.8211417374670766,2.8210945939896828,2.8190808262170997,2.820699530879002,2.8189259625437884,2.817569684664542,2.8176822170589246,2.8195321417169863,2.8
"V_c_typ, L",-0.3559064831260034,-0.36306607164926524,-0.3665932400773579,-0.3612943315658923,-0.3601715972696432,-0.3653504039069971,-0.3662954714628235,-0.36639865372271985,-0.3682745195624125,-0.37001821674127455,-0.36433689890843896,0.68
omega_{V_c},0.3136213906130241,0.3124935602082883,0.31344750683245953,0.3102404937151004,0.3126402573918517,0.31171457239650097,0.3135659911479367,0.31160178680299727,0.31487362946760544,0.3124232357288713,0.3126622424304636,0.3
"K_1, L/hr",2.3479431045312205,2.339895981057863,2.3428407868680705,2.3463378574450657,2.346293825283526,2.3414508866994077,2.3450415931870174,2.3415573226481357,2.3376713924267714,2.3384561416442087,2.3427488891791284,2.3
"V_1, L",4.960502551771287,4.949072289588974,4.954315109266629,4.957615825721068,4.95849773547584,4.949340599071833,4.955162089700736,4.949547247615815,4.94375584990758,4.945357554899492,4.952316685301926,4.9
"\sigma_{m, PK}",0.08815509877300301,0.08810980953800619,0.08821128232753807,0.08811153709459467,0.08808346285384115,0.08817628058519211,0.08801778102237132,0.08813356181552699,0.08815147868252006,0.08820256203452127,0.08813528547271149,0.091
Log-posterior,8927.806740294793,8927.842540134197,8927.847539194807,8927.773680029017,8927.90100646934,8927.880079714196,8927.85310426413,8927.834994129053,8927.811910011593,8927.84901083776,nan,nan
