id,importanceSampling
1,-353.635979
2,-269.662618
3,-248.870064
4,-348.194892
5,-335.932559
6,-360.634091
7,-238.918776
8,-344.799068
9,-340.882612
10,-270.868626
11,-351.240114
12,-346.576202
13,-351.178481
14,-301.056729
15,-349.325354
16,-207.034332
17,-190.011057
18,-277.880339
19,-275.269350
20,-288.518291
21,-180.927229
22,-264.952927
23,-272.671233
24,-181.121821
25,-286.715161
26,-273.153377
27,-280.560397
28,-225.881552
29,-280.650481
30,-254.329070
31,-144.838298
32,-235.077274
33,-215.313128
34,-244.494290
35,-144.655657
36,-228.311361
37,-244.414320
38,-140.519146
39,-246.828444
40,-230.401964
41,-237.895723
42,-207.315903
43,-234.837670
44,-199.832268
45,-185.668703
