id,importanceSampling
1,-309.437112
2,-341.998738
3,-310.689466
4,-347.950855
5,-292.137585
6,-286.283285
7,-339.394835
8,-285.681813
9,-338.692553
10,-338.746176
11,-337.520626
12,-410.135873
13,-327.244902
14,-201.558355
15,-307.035511
16,-263.492505
17,-247.229223
18,-278.213039
19,-229.938061
20,-214.310740
21,-271.411283
22,-209.183811
23,-264.873078
24,-274.593930
25,-268.688942
26,-350.067466
27,-253.395671
28,-97.827274
29,-227.317727
30,-242.221107
31,-208.068125
32,-238.659038
33,-191.814813
34,-176.220816
35,-229.986407
36,-185.886099
37,-230.207980
38,-226.360596
39,-216.330474
40,-316.388999
41,-214.113314
42,-75.576377
43,-198.567939
44,-205.537447
45,-226.937470
