id,importanceSampling
1,-336.930993
2,-285.110603
3,-255.293881
4,-180.906770
5,-326.998014
6,-338.501045
7,-340.275293
8,-299.856164
9,-337.107721
10,-284.694957
11,-294.029988
12,-282.072761
13,-337.951319
14,-227.431521
15,-340.885405
16,-216.705795
17,-198.938299
18,-106.497324
19,-257.006498
20,-268.946207
21,-270.154090
22,-235.941164
23,-267.963013
24,-224.818301
25,-222.399549
26,-203.159243
27,-270.074944
28,-154.691888
29,-273.047858
30,-259.699010
31,-163.840166
32,-75.569050
33,-217.066042
34,-231.038826
35,-230.772043
36,-185.144430
37,-218.887760
38,-181.037330
39,-186.034425
40,-155.367045
41,-228.178739
42,-120.668997
43,-226.808202
44,-217.222686
45,-183.371351
