id,importanceSampling
1,-424.369017
2,-588.171508
3,-588.836764
4,-595.338726
5,-409.549027
6,-433.305991
7,-587.893735
8,-445.071918
9,-559.227995
10,-628.939443
11,-574.595570
12,-572.760449
13,-402.646925
14,-593.406218
15,-466.214261
16,-521.184543
17,-548.117145
18,-514.938948
19,-354.036036
20,-358.968157
21,-537.872973
22,-388.184297
23,-490.479729
24,-534.064109
25,-513.334333
26,-502.164663
27,-340.064802
28,-514.658785
29,-402.290141
30,-524.229125
31,-499.174710
32,-472.691587
33,-307.403037
34,-324.022242
35,-486.857351
36,-338.923581
37,-453.958049
38,-491.705584
39,-461.616170
40,-476.074984
41,-284.735449
42,-482.294279
43,-362.097245
44,-476.548254
45,-528.299687
