rep,id,eta_V,eta_Cl
1,19,-0.158764,-0.25351
2,19,-0.163017,-0.24486
3,19,-0.182034,-0.278113
4,19,-0.173655,-0.262631
5,19,-0.254282,-0.322962
6,19,-0.141183,-0.218179
7,19,-0.224006,-0.288797
8,19,-0.136125,-0.222012
9,19,-0.227301,-0.304391
10,19,-0.106729,-0.213613
1,20,-0.11832,-0.319075
2,20,-0.2128,-0.407999
3,20,-0.24742,-0.415352
4,20,-0.173242,-0.373018
5,20,-0.180967,-0.374727
6,20,-0.225231,-0.415025
7,20,-0.270052,-0.451387
8,20,-0.20922,-0.395308
9,20,-0.289957,-0.472644
10,20,-0.183229,-0.381544
1,21,0.414445,0.97313
2,21,0.41308,0.973086
3,21,0.382697,0.955305
4,21,0.423152,0.988306
5,21,0.38823,0.954422
6,21,0.400552,0.954527
7,21,0.37298,0.932203
8,21,0.414259,0.976937
9,21,0.374765,0.928473
10,21,0.425192,0.982543
1,22,-0.0872706,-0.416735
2,22,-0.148851,-0.458058
3,22,-0.0763607,-0.405576
4,22,-0.145151,-0.435563
5,22,-0.077471,-0.402448
6,22,-0.0663738,-0.382583
7,22,-0.169658,-0.460244
8,22,-0.0607727,-0.37721
9,22,-0.134439,-0.435603
10,22,-0.116078,-0.438659
1,23,0.375723,0.065511
2,23,0.398941,0.0776493
3,23,0.448035,0.0943153
4,23,0.357267,0.0432516
5,23,0.480181,0.133495
6,23,0.434715,0.0886123
7,23,0.404354,0.0741795
8,23,0.418611,0.0798661
9,23,0.39305,0.0854649
10,23,0.43414,0.0970651
1,24,0.204578,0.652638
2,24,0.192915,0.649715
3,24,0.196656,0.656979
4,24,0.0676242,0.53726
5,24,0.154778,0.618851
6,24,0.0722236,0.547001
7,24,0.120058,0.584538
8,24,0.0698097,0.529075
9,24,0.119017,0.581339
10,24,0.0837671,0.55153
1,25,0.130382,-0.518658
2,25,0.0801044,-0.576965
3,25,0.165892,-0.501254
4,25,0.0194901,-0.616907
5,25,0.150197,-0.525377
6,25,0.165351,-0.510563
7,25,0.115564,-0.519415
8,25,0.131195,-0.541711
9,25,0.0765491,-0.58309
10,25,0.100694,-0.551312
1,26,-0.353576,-0.0640873
2,26,-0.192647,0.0749768
3,26,-0.36674,-0.0748998
4,26,-0.189274,0.0747556
5,26,-0.35163,-0.0661682
6,26,-0.240098,0.0383468
7,26,-0.256625,0.0284976
8,26,-0.249982,0.0262988
9,26,-0.353205,-0.0667833
10,26,-0.265736,0.00398492
1,27,0.382115,-0.123696
2,27,0.411673,-0.0820356
3,27,0.38063,-0.0929946
4,27,0.379653,-0.0894002
5,27,0.303425,-0.156663
6,27,0.367965,-0.0913724
7,27,0.358455,-0.0983274
8,27,0.386282,-0.090824
9,27,0.445498,-0.0672281
10,27,0.445604,-0.0589744
1,28,-0.163903,-0.0197825
2,28,0.0375398,0.164803
3,28,-0.192668,-0.0361645
4,28,0.000219338,0.131807
5,28,-0.00555859,0.119814
6,28,-0.0637558,0.0807054
7,28,-0.0138786,0.10781
8,28,-0.0405373,0.0805298
9,28,0.00100644,0.116328
10,28,-0.016877,0.101163
1,29,-0.0889844,0.244238
2,29,-0.134225,0.203478
3,29,-0.0770822,0.248567
4,29,-0.078367,0.25307
5,29,-0.0598253,0.266286
6,29,-0.0970569,0.234121
7,29,-0.0568508,0.269689
8,29,-0.135393,0.200766
9,29,-0.0652326,0.253642
10,29,-0.106032,0.209103
1,30,-0.286428,-0.343607
2,30,-0.361261,-0.405279
3,30,-0.322756,-0.372298
4,30,-0.272745,-0.320453
5,30,-0.381706,-0.437652
6,30,-0.201,-0.280097
7,30,-0.373591,-0.419501
8,30,-0.362458,-0.413391
9,30,-0.40309,-0.455557
10,30,-0.391858,-0.427038
