Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"S, L/mg",19.92897272611978,19.91082590135572,4.252449786009435,19.926696191029148,26.261814647156566,19.88304492263176,19.842851413631326,19.9013832740271,1.3834766494232271,19.92448468047512,17.12160001918592,20.0
"K_{cl}, L/hr",2.794098855151192,2.794229059060812,2.7942200546276745,2.7942214398969423,2.793908972142639,2.794186052840549,2.7940861306559053,2.7941095087879195,2.794077328563556,2.7941240321386007,2.794126143386579,2.8
"V_c_typ, L",-0.47883789906365853,0.309743550216409,-0.41724678372409235,-0.24198942167523926,-0.29718582598197857,-0.47439415979151023,-0.7049699249304603,-0.49748308183851797,-0.3872195564905104,-0.1902464125472204,-0.33798295158267794,0.68
omega_V_c,0.21661399527139044,0.9621943780344379,0.2749827146499459,0.3942066459810408,0.5814044772239075,0.4157546039164888,0.4270915758564501,0.2750299714728405,0.31111038094544247,0.4436677926711028,0.43020565360230467,0.3
"R_0_typ, 10^3/mu L",7.150845511890992,6.610660293257693,6.878466913756054,6.8906617572083535,6.0527850858822845,6.585458997010894,6.890557599958672,6.446386102700324,6.874538627206368,6.53782833655206,6.69181892254237,983.1
omega_R_0,0.6815598190560307,0.6959466780800386,0.00032461828041102447,0.002985647115587057,1.2544363372195415,0.34400613314982836,0.0021678098010307362,0.5344765652152985,0.0003235522989916825,1.2476246057851348,0.4763851766001893,1e-10
gamma,0.4406877363215583,0.44144844922132376,0.22330797726449222,0.4410456633155836,0.2131187305713326,0.44214764542983415,0.4433539338528412,0.4415435193917913,0.20089856355728483,0.44109740352938315,0.37286496224554255,0.44
"MTT, hr",85.28201527079531,85.34068483053267,5.077375805928983,85.31484387735271,132.7390207356677,85.39086724398989,85.46838962635532,85.34495070632406,5.261738697949427,85.31626006203425,74.05361468569303,85.26
"sigma_{c, PD}",20.984579872511592,20.939744175804083,277.62741920545255,21.122597694149615,608.4782771394954,20.903159580406278,21.00198417103409,21.078334144944925,265.91959049536774,20.96308329341284,129.90187697725793,21.215
Log-posterior,-22753.20562601426,-22799.947302966706,-28412.433802769763,-22591.21620559537,-30442.917783810386,-22736.277074762525,-22605.52054192536,-22750.380989711528,-28307.09456143095,-22785.8700234981,nan,nan
