id,importanceSampling
1,-385.684463
2,-390.406939
3,-393.883713
4,-411.795046
5,-403.568103
6,-400.275357
7,-393.203642
8,-386.213764
9,-397.439588
10,-380.899895
11,-395.009072
12,-396.367238
13,-365.882210
14,-390.184148
15,-400.227805
16,-325.093701
17,-307.134744
18,-312.826123
19,-322.766136
20,-322.087276
21,-331.169529
22,-307.563898
23,-348.616997
24,-320.360723
25,-321.420302
26,-324.766828
27,-317.836805
28,-314.716584
29,-328.013541
30,-319.851286
31,-297.676006
32,-279.212166
33,-296.817660
34,-259.092283
35,-293.085032
36,-279.438952
37,-306.986587
38,-290.193220
39,-297.286594
40,-271.936974
41,-288.929379
42,-271.984825
43,-287.154570
44,-282.860679
45,-293.335928
