id,importanceSampling
1,-362.921672
2,-357.019911
3,-302.118239
4,-370.652776
5,-328.090410
6,-368.383275
7,-346.757095
8,-272.932234
9,-279.387913
10,-362.146389
11,-344.098901
12,-281.843480
13,-312.277310
14,-356.051945
15,-363.072643
16,-289.612483
17,-226.854031
18,-291.000410
19,-243.587977
20,-296.480262
21,-275.551932
22,-205.764262
23,-229.010942
24,-295.861652
25,-261.921794
26,-232.272609
27,-246.370633
28,-283.945933
29,-293.482458
30,-265.380743
31,-196.948811
32,-249.712167
33,-209.645607
34,-250.455951
35,-237.640455
36,-165.989320
37,-161.456465
38,-259.453282
39,-216.382455
40,-175.793034
41,-223.119626
42,-240.339501
43,-252.748936
44,-231.546011
45,-250.724527
