Parameter,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,True
"S, L/mg",20.22442146992433,21.429957234191562,20.27864612393306,20.261268858689036,20.263528766827864,20.289529956441317,10.341059098798315,20.2289663793665,20.235265443188197,20.271706280479236,19.38243496118394,20.0
"K_{cl}, L/hr",2.8132035184051674,2.9873299726776703,2.821955886740437,2.8208123712995428,2.8191458854200544,2.8229720223141417,4.253210357729261,2.815612694915719,2.8177525385242483,2.8204229797289724,2.9792418227755215,2.8
"V_c_typ, L",-0.3679445900454204,-1.1600101499539484,-0.3574710307630251,-0.3604091188664757,-0.36378819027056586,-0.362580955747999,-0.21191586712854205,-0.3785642861923188,-0.37394326191277344,-0.36908871110943514,-0.4305716161990504,0.68
omega_V_c,0.31401318528506533,0.00019912037272325127,0.3185284903851663,0.3139044012248114,0.31207041068529556,0.3121391040475642,0.2154563670628048,0.31219785775181336,0.3139993479836787,0.31231060903803165,0.27248188938369544,0.3
"K_1, L/hr",2.3279834443736505,889.959686145461,2.3479927523013964,2.3458877195580405,2.3423467028134835,2.3516504465260937,502.4084604803017,2.335946052939427,2.3386038534239826,2.342390759509797,141.11009483572087,2.3
"V_1, L",4.930321386050478,3.5347277162056012,4.962874954525802,4.956502398977791,4.950004180716638,4.967738703340149,0.4917709070489429,4.946474934019167,4.944415037497145,4.951968017470614,4.363679823585232,4.9
"R_0, 10^3/mu L",983.3919164370108,983.4695920947992,983.2303251589649,983.2741621003977,983.2479650983695,983.3948932820628,695.2126546246893,983.2438802583307,983.4732633675638,983.4164475279422,954.5355099950132,983.1
gamma,0.4367573198259255,0.4373526036384688,0.43669020299857403,0.43706078189832254,0.4366273499489714,0.4365297165783456,0.11147744927235317,0.43674218310587815,0.4366998026951971,0.4365426129111221,0.4042480022873159,0.44
"MTT, hr",85.08115549681715,85.20746468644946,85.06531852236311,85.08822042739969,85.06320380537365,85.05734237437859,106.94289381763802,85.0677403675886,85.0690849868045,85.06147471179546,87.27038991966081,85.26
"\sigma_{m, PK}",0.08811920074574402,0.75803204418995,0.0882082886476968,0.08827931921508339,0.08823443979745707,0.08827115973799685,0.1770632614120455,0.0881370394493606,0.08791373780049791,0.08815367774844754,0.16404121687442796,0.091
"sigma_{c, PD}",41.9400401309956,42.092889725483744,41.832968942991066,41.97684867449378,41.87580239259606,41.87408257629655,0.31003454715881396,41.85447114523935,41.879753116235534,41.8155928739953,37.74524841254858,0.13
Log-posterior,-2676.1859134037904,-7944.829240089525,-2676.181135512478,-2676.111218469519,-2676.0488978697244,-2676.2868251924624,-inf,-2676.138528970218,-2676.4408337945133,-2675.9074787688737,nan,nan
